_id,Facility,Facility Submission Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_Deaths
173,FOUR SEASONS RETIREMENT CENTER,Data submitted,37.0,27.0,12.0,
174,FRANCISCAN HEALTH ALTERNACARE,Facility has not submitted Data,"","","",
175,FREELANDVILLE COMMUNITY HOME,Data submitted - no cases to report,0.0,0.0,0.0,
176,FRIENDS FELLOWSHIP COMMUNITY,Data submitted,0.0,< 5,0.0,
177,GARDEN VILLA - BEDFORD,Data submitted,0.0,< 5,0.0,
178,GARDEN VILLA - BLOOMINGTON,Data submitted,0.0,< 5,0.0,
179,GENTLECARE OF VINCENNES,Facility has not submitted Data,"","","",
180,GENTRY PARK,Data submitted - no cases to report,0.0,0.0,0.0,
181,GEORGE ADE MEMORIAL HEALTH CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
182,GEORGETOWN PLACE,Data submitted - no cases to report,0.0,0.0,0.0,
183,GLASSWATER CREEK OF LAFAYETTE,Data submitted,< 5,< 5,0.0,
184,GLASSWATER CREEK OF PLAINFIELD,Data submitted - no cases to report,0.0,0.0,0.0,
185,GLEN OAKS HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
186,GOLDEN LIVING CENTER - BLOOMINGTON,Facility has not submitted Data,"","","",
187,GOLDEN LIVING CENTER - BRANDYWINE,Facility has not submitted Data,"","","",
188,GOLDEN LIVING CENTER - BRENTWOOD,Facility has not submitted Data,"","","",
189,GOLDEN LIVING CENTER - BROOKVIEW,Facility has not submitted Data,"","","",
190,GOLDEN LIVING CENTER - ELKHART,Facility has not submitted Data,"","","",
191,GOLDEN LIVING CENTER - FOUNTAINVIEW,Data submitted - no cases to report,0.0,0.0,0.0,
192,GOLDEN LIVING CENTER - FOUNTAINVIEW PLACE,Facility has not submitted Data,"","","",
193,GOLDEN LIVING CENTER - FOUNTAINVIEW TERRACE,Facility has not submitted Data,"","","",
194,GOLDEN LIVING CENTER - GOLDEN RULE,Facility has not submitted Data,"","","",
195,GOLDEN LIVING CENTER - INDIANAPOLIS,Facility has not submitted Data,"","","",
196,GOLDEN LIVING CENTER - KNOX,Facility has not submitted Data,"","","",
197,GOLDEN LIVING CENTER - LAPORTE,Facility has not submitted Data,"","","",
198,GOLDEN LIVING CENTER - LINCOLN HILLS,Facility has not submitted Data,"","","",
199,GOLDEN LIVING CENTER - MERRILLVILLE,Facility has not submitted Data,"","","",
200,GOLDEN LIVING CENTER - MUNCIE,Facility has not submitted Data,"","","",
201,GOLDEN LIVING CENTER - PETERSBURG,Facility has not submitted Data,"","","",
202,GOLDEN LIVING CENTER - RICHMOND,Facility has not submitted Data,"","","",
203,GOLDEN LIVING CENTER - SYCAMORE VILLAGE,Facility has not submitted Data,"","","",
204,GOLDEN LIVING CENTER - VALPARAISO,Facility has not submitted Data,"","","",
205,GOLDEN LIVING CENTER - WILLOW SPRINGS,Facility has not submitted Data,"","","",
206,GOLDEN LIVING CENTER - WOODBRIDGE,Facility has not submitted Data,"","","",
207,GOLDEN LIVING CENTER - WOODLANDS,Facility has not submitted Data,"","","",
208,GOLDEN LIVING CENTER- MISHAWAKA,Data submitted,0.0,< 5,0.0,
209,GOLDEN YEARS HOMESTEAD,Facility has not submitted Data,"","","",
210,GOOD SAMARITAN HOME HEALTH CENTER,Data submitted,7.0,< 5,< 5,
211,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,Data submitted,8.0,5.0,< 5,
212,GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM,Facility has not submitted Data,"","","",
213,GRACE VILLAGE HEALTH CARE FACILITY,Data submitted,18.0,18.0,< 5,
214,GRAND BROOK MEMORY CARE OF FISHERS,Data submitted,8.0,< 5,< 5,
215,GRAND BROOK MEMORY CARE OF GREENWOOD,Data submitted - no cases to report,0.0,0.0,0.0,
216,GRAND BROOK MEMORY CARE OF ZIONSVILLE,Data submitted,5.0,0.0,< 5,
217,GRAND EMERALD PLACE,Facility has not submitted Data,"","","",
218,GRAND VALLEY GARDENS ASSISTED LIVING FACILITY,Data submitted - no cases to report,0.0,0.0,0.0,
219,GRAND VALLEY HEALTH & REHAB,Data submitted,0.0,< 5,0.0,
220,GREAT LAKES HEALTHCARE CENTER,Data submitted,14.0,< 5,< 5,
221,GREEN HOUSE COTTAGES OF CARMEL,Data submitted,< 5,< 5,< 5,
222,GREEN HOUSE VILLAGE OF GOSHEN,Data submitted - no cases to report,0.0,0.0,0.0,
223,GREEN VALLEY CARE CENTER,Data submitted,0.0,< 5,0.0,
224,GREENBRIAR VILLAGE,Data submitted,9.0,0.0,< 5,
225,GREENCROFT HEALTHCARE,Data submitted,39.0,15.0,7.0,
226,GREENFIELD HEALTHCARE CENTER,Data submitted,77.0,15.0,19.0,
227,GREENHILL MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
228,GREENLEAF HEALTH CAMPUS,Data submitted,48.0,32.0,19.0,
229,GREENWOOD HEALTH AND LIVING COMMUNITY,Data submitted - no cases to report,0.0,0.0,0.0,
230,GREENWOOD HEALTHCARE CENTER,Data submitted,192.0,34.0,31.0,
231,GREENWOOD VILLAGE SOUTH,Data submitted,0.0,< 5,0.0,
232,GREY STONE HEALTH & REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
233,HAMILTON GROVE,Facility has not submitted Data,"","","",
234,HAMILTON PLACE,Facility has not submitted Data,"","","",
235,HAMILTON TRACE OF FISHERS,Data submitted,48.0,17.0,15.0,
236,HAMMOND-WHITING CARE CENTER,Data submitted,53.0,23.0,9.0,
237,HAMPTON OAKS HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
238,HANOVER NURSING CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
239,HARBOUR MANOR HEALTH & LIVING COMMUNITY,Data submitted,12.0,8.0,< 5,
240,HARRISON HEALTHCARE CENTER,Data submitted,61.0,12.0,11.0,
241,HARRISON SPRINGS HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
242,HARRISON'S CROSSING HEALTH CAMPUS,Data submitted,< 5,< 5,< 5,
243,HARTSFIELD VILLAGE ASSISTED LIVING,Data submitted,0.0,< 5,0.0,
244,HEALTH CENTER AT GLENBURN HOME,Data submitted - no cases to report,0.0,0.0,0.0,
245,HEALTHCARE CENTER AT WITTENBERG VILLAGE,Data submitted,0.0,< 5,0.0,
246,HEALTHWIN,Data submitted,40.0,29.0,8.0,
247,HEARTH AT WINDERMERE,Data submitted,12.0,8.0,6.0,
248,HEARTHSTONE HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
249,HELLENIC SENIOR LIVING OF ELKHART,Data submitted - no cases to report,0.0,0.0,0.0,
250,HELLENIC SENIOR LIVING OF INDIANAPOLIS,Data submitted - no cases to report,0.0,0.0,0.0,
251,HELLENIC SENIOR LIVING OF NEW ALBANY,Data submitted - no cases to report,0.0,0.0,0.0,
252,HERITAGE CENTER,Data submitted,0.0,< 5,0.0,
253,HERITAGE HEALTHCARE,Data submitted - no cases to report,0.0,0.0,0.0,
254,HERITAGE HOUSE OF GREENSBURG,Data submitted,0.0,< 5,0.0,
255,HERITAGE HOUSE OF NEW CASTLE,Data submitted,0.0,< 5,0.0,
256,HERITAGE HOUSE OF RICHMOND,Data submitted - no cases to report,0.0,0.0,0.0,
257,HERITAGE HOUSE OF SHELBYVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
258,HERITAGE OF HUNTINGTON,Facility has not submitted Data,"","","",
259,HERITAGE POINT ALZHEIMER'S SPECIAL CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
260,HERITAGE POINT OF WARREN,Data submitted,0.0,< 5,0.0,
261,HERITAGE POINTE OF FORT WAYNE,Data submitted,11.0,5.0,< 5,
262,HERITAGE WOODS OF NOBLESVILLE,Data submitted,12.0,6.0,< 5,
263,HHC-ASC ALLISONVILLE MEADOWS,Data submitted,0.0,< 5,0.0,
264,HHC-ASC ALLISONVILLE MEADOWS ASSISTED LIVING,Data submitted,< 5,< 5,0.0,
265,HHC-ASC AMERICAN VILLAGE,Data submitted,79.0,17.0,16.0,
266,HHC-ASC AMERICAN VILLAGE ASSISTED LIVING,Data submitted,23.0,0.0,< 5,
267,HHC-ASC ARBOR GROVE VILLAGE,Data submitted,31.0,16.0,9.0,
268,HHC-ASC ASTER PLACE ASSISTED LIVING,Data submitted - no cases to report,0.0,0.0,0.0,
269,HHC-ASC AUTUMN RIDGE REHABILITATION CENTRE,Data submitted,0.0,< 5,0.0,
270,HHC-ASC AVALON VILLAGE,Data submitted,0.0,< 5,0.0,
271,HHC-ASC BEECH GROVE MEADOWS,Data submitted,16.0,6.0,< 5,
272,HHC-ASC BEECH GROVE MEADOWS ASSISTED LIVING,Data submitted,< 5,0.0,< 5,
273,HHC-ASC BEN HUR HEALTH AND REHAB,Data submitted,64.0,11.0,11.0,
274,HHC-ASC BETHANY VILLAGE,Data submitted,0.0,< 5,0.0,
275,HHC-ASC BETHANY VILLAGE ASSISTED LIVING,Data submitted,< 5,0.0,0.0,
276,HHC-ASC BETHLEHEM WOODS NURSING AND REHABILITATION,Data submitted,68.0,17.0,24.0,
277,HHC-ASC BETZ NURSING HOME,Data submitted,< 5,< 5,0.0,
278,HHC-ASC BROWNSBURG MEADOWS,Data submitted,19.0,0.0,< 5,
279,HHC-ASC BROWNSBURG MEADOWS ASSISTED LIVING,Data submitted,61.0,23.0,22.0,
280,HHC-ASC CANTERBURY NURSING AND REHABILITATION CENTER,Data submitted,9.0,5.0,0.0,
281,HHC-ASC CARDINAL NURSING AND REHABILITATION CENTER,Data submitted,100.0,16.0,0.0,
282,HHC-ASC CLARK REHABILITATION AND SKILLED NURSING CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
283,HHC-ASC CLINTON GARDENS,Data submitted,0.0,< 5,0.0,
284,HHC-ASC COLUMBIA HEALTHCARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
285,HHC-ASC COMMUNITY NURSING AND REHABILITATION CENTER,Data submitted,10.0,14.0,< 5,
286,HHC-ASC COUNTRYSIDE MEADOWS,Data submitted,52.0,7.0,9.0,
287,HHC-ASC COUNTRYSIDE MEADOWS ASSISTED LIVING,Data submitted,0.0,< 5,0.0,
288,HHC-ASC COVENTRY MEADOWS,Data submitted,0.0,< 5,0.0,
289,HHC-ASC CREEKSIDE VILLAGE,Data submitted,0.0,< 5,0.0,
290,HHC-ASC CYPRESS GROVE REHABILITATION CENTER,Data submitted,0.0,< 5,0.0,
291,HHC-ASC DANVILLE REGIONAL REHABILITATION,Data submitted,7.0,0.0,< 5,
292,HHC-ASC EAGLE VALLEY MEADOWS,Data submitted,0.0,< 5,0.0,
293,HHC-ASC EAST LAKE NURSING & REHABILITATION CENTER,Data submitted,< 5,< 5,0.0,
294,HHC-ASC EASTGATE MANOR NURSING & REHABILITATION CENTER,Data submitted,0.0,< 5,0.0,
295,HHC-ASC EDGEWATER WOODS,Data submitted,0.0,< 5,0.0,
296,HHC-ASC ELKHART MEADOWS,Data submitted,0.0,< 5,0.0,
297,HHC-ASC FAIRWAY VILLAGE,Data submitted,42.0,14.0,14.0,
298,HHC-ASC FOREST CREEK VILLAGE,Data submitted,61.0,10.0,5.0,
299,HHC-ASC FRANKLIN MEADOWS,Data submitted,0.0,< 5,0.0,
300,HHC-ASC GLENBROOK REHABILITATION & SKILLED NURSING CENTER,Data submitted,0.0,< 5,0.0,
301,HHC-ASC GOOD SAMARITAN HOME & REHABILITATIVE CENTER,Data submitted,0.0,< 5,0.0,
302,HHC-ASC GREENWOOD MEADOWS,Data submitted,113.0,19.0,35.0,
303,HHC-ASC HARCOURT TERRACE NURSING AND REHABILITATION,Data submitted,47.0,8.0,9.0,
304,HHC-ASC HARRISON TERRACE,Data submitted,71.0,16.0,38.0,
305,HHC-ASC HERITAGE HOUSE REHAB & HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
306,HHC-ASC HERITAGE PARK,Data submitted,81.0,11.0,15.0,
307,HHC-ASC HERITAGE PARK COMMONS,Data submitted - no cases to report,0.0,0.0,0.0,
308,HHC-ASC HILLCREST VILLAGE,Data submitted,28.0,5.0,< 5,
309,HHC-ASC LOWELL HEALTHCARE,Data submitted,0.0,< 5,0.0,
310,HHC-ASC MAPLE PARK VILLAGE,Data submitted,< 5,< 5,< 5,
311,HHC-ASC MARKLE HEALTH & REHABILITATION,Data submitted - no cases to report,0.0,0.0,0.0,
312,HHC-ASC MEADOW LAKES,Data submitted,45.0,14.0,14.0,
313,HHC-ASC MEADOW LAKES ASSISTED LIVING,Data submitted,< 5,0.0,< 5,
314,HHC-ASC MEADOW VIEW HEALTH AND REHABILITATION,Data submitted - no cases to report,0.0,0.0,0.0,
315,HHC-ASC MONTICELLO HEALTHCARE,Data submitted,41.0,15.0,9.0,
316,HHC-ASC MOUNT VERNON NURSINGAND REHABILITATION,Data submitted,0.0,< 5,0.0,
317,HHC-ASC NORTH CAPITOL NURSING & REHABILITATION CENTER,Data submitted,< 5,< 5,0.0,
318,HHC-ASC NORTH PARK NURSING CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
319,HHC-ASC NORTH WOODS VILLAGE,Data submitted,96.0,9.0,33.0,
320,HHC-ASC PARK TERRACE VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
321,HHC-ASC PRAIRIE VILLAGE NURSING & REHAB,Data submitted - no cases to report,0.0,0.0,0.0,
