_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
36,BETHANY POINTE HEALTH CAMPUS,Data Submitted,83.0,67.0,33.0,
37,LOOGOOTEE NURSING CENTER,Data Submitted,< 5,0.0,0.0,
38,WELLBROOKE OF CARMEL,Data Submitted,< 5,6.0,< 5,
39,GREEN HOUSE COTTAGES OF CARMEL,Data Submitted,< 5,< 5,< 5,
40,APERION CARE FORT WAYNE,Data Submitted,29.0,6.0,5.0,
41,MILLER'S MERRY MANOR - MOORESVILLE,Data Submitted,< 5,0.0,0.0,
42,RETREAT AT THE STRATFORD,Data Submitted,16.0,15.0,6.0,
43,GRAND BROOK MEMORY CARE OF ZIONSVILLE,Data Submitted,5.0,0.0,< 5,
44,COVERED BRIDGE HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
45,HHC-ASC WEST BEND NURSING AND REHABILITATION,Data Submitted,37.0,< 5,5.0,
46,BARRINGTON OF CARMEL,Data Submitted,< 5,5.0,0.0,
47,ASHFORD PLACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
48,YORKTOWN MANOR,Data Submitted,62.0,32.0,16.0,
49,GOLDEN LIVING CENTER - WILLOW SPRINGS,Data Submitted,77.0,11.0,17.0,
50,CARMEL HEALTH & LIVING COMMUNITY,Data Submitted,42.0,16.0,14.0,
51,CASTLETON HEALTH CARE CENTER,Data Submitted,< 5,5.0,0.0,
52,CHRISTIAN CARE RETIREMENT COMMUNITY,Data Submitted,< 5,< 5,< 5,
53,LIBERTY VILLAGE,Data Submitted,33.0,12.0,12.0,
54,ASPEN PLACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
55,THE WOODLANDS,Data Submitted,< 5,< 5,0.0,
56,THE VILLAGE AT HAMILTON POINTE,Data Submitted,38.0,30.0,11.0,
57,CAMELOT CARE CENTER,Data Submitted,< 5,< 5,0.0,
58,SPRING MILL HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
59,MCCORDSVILLE SENIOR LIVING,Data Submitted,6.0,< 5,5.0,
60,KINGSTON CARE CENTER OF FORT WAYNE,Data Submitted,56.0,39.0,11.0,
61,HHC-ASC EAST LAKE NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0.0,
62,ADDISON PLACE,Data Submitted,5.0,< 5,< 5,
63,HERITAGE POINTE OF FORT WAYNE,Data Submitted,11.0,5.0,< 5,
64,SIGNATURE HEALTHCARE OF NEWBURGH,Data Submitted,42.0,12.0,13.0,
65,MAGNOLIA SPRINGS BRIDGEWATER,Data Submitted,< 5,< 5,0.0,
66,HHC-ASC MONTICELLO HEALTHCARE,Data Submitted,41.0,15.0,9.0,
67,MUNSTER MED-INN,Data Submitted,49.0,21.0,16.0,
68,AVON HEALTH & REHABILITATION CENTER,Data Submitted,36.0,16.0,12.0,
69,WESTSIDE VILLAGE NURSING CENTER,Data Submitted,24.0,6.0,7.0,
70,OASIS AT 30TH,Data Submitted,< 5,0.0,0.0,
71,MAJESTIC CARE OF CONNERSVILLE,Data Submitted,21.0,10.0,< 5,
72,HHC-ASC MAPLE PARK VILLAGE,Data Submitted,< 5,< 5,< 5,
73,HHC-ASC DANVILLE REGIONAL REHABILITATION,Data Submitted,7.0,0.0,< 5,
74,SHADY NOOK CARE CENTER,Data Submitted,58.0,19.0,19.0,
75,LUTHERAN LIFE VILLAGES AT KENDALLVILLE,Data Submitted,69.0,27.0,13.0,
76,CHATEAU OF BATESVILLE,Data Submitted,< 5,0.0,0.0,
77,HHC-ASC NORTH WOODS VILLAGE,Data Submitted,96.0,9.0,33.0,
78,MILLER'S MERRY MANOR - HOBART,Data Submitted,32.0,9.0,7.0,
79,AVALON SPRINGS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
80,BROOKDALE VALPARAISO,Data Submitted,< 5,< 5,0.0,
81,ENGLEWOOD HEALTH & REHABILITATION CENTER,Data Submitted,22.0,9.0,5.0,
82,COURTYARD HEALTHCARE CENTER,Data Submitted,< 5,6.0,0.0,
83,SOUTH SHORE HEALTH & REHABILITATION CENTER,Data Submitted,35.0,16.0,10.0,
84,GREENCROFT HEALTHCARE,Data Submitted,39.0,15.0,7.0,
85,LUTHERAN COMMUNITY HOME,Data Submitted,< 5,0.0,0.0,
86,THE RESTORACY OF WHITESTOWN,Data Submitted,< 5,< 5,0.0,
87,HHC-ASC HILLCREST VILLAGE,Data Submitted,28.0,5.0,< 5,
88,APERION CARE SPENCER,Data Submitted,< 5,< 5,0.0,
89,COPPER TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5,
90,HHC-ASC ARBOR GROVE VILLAGE,Data Submitted,31.0,16.0,9.0,
91,PRIMROSE RETIREMENT COMMUNITY OF KOKOMO,Data Submitted,< 5,< 5,< 5,
92,COBBLESTONE CROSSINGS HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
93,WOODLAND TERRACE OF NEW PALESTINE,Data Submitted,< 5,0.0,< 5,
94,NORTHWOOD MANOR,Data Submitted,< 5,0.0,0.0,
95,HHC-ASC MEADOW LAKES,Data Submitted,45.0,14.0,14.0,
96,DEMAREE CROSSING ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,0.0,< 5,
97,HHC-ASC ALLISONVILLE MEADOWS ASSISTED LIVING,Data Submitted,< 5,< 5,0.0,
98,TRADITIONS AT SOLANA,Data Submitted,< 5,< 5,0.0,
99,HHC-ASC HARCOURT TERRACE NURSING AND REHABILITATION,Data Submitted,47.0,8.0,9.0,
100,GOLDEN LIVING CENTER - VALPARAISO,Data Submitted,< 5,7.0,0.0,
101,HHC-ASC WESTVIEW NURSING AND REHABILITATION CENTER,Data Submitted,28.0,12.0,8.0,
102,SIGNATURE HEALTHCARE OF MUNCIE,Data Submitted,52.0,19.0,10.0,
103,MILLER'S MERRY MANOR - TIPTON,Data Submitted,< 5,< 5,0.0,
104,MILLER'S MERRY MANOR - PLYMOUTH,Data Submitted,50.0,29.0,9.0,
105,GLASSWATER CREEK OF LAFAYETTE,Data Submitted,< 5,< 5,0.0,
106,WOOD RIDGE ASSISTED LIVING,Data Submitted,< 5,< 5,0.0,
107,TRAIL CREEK PLACE - ASSISTED LIVING,Data Submitted,< 5,0.0,< 5,
108,SAINT ANTHONY - CROWN POINT,Data Submitted,81.0,22.0,21.0,
109,ARLINGTON PLACE HEALTH CAMPUS,Data Submitted,< 5,6.0,< 5,
110,BROOKE KNOLL VILLAGE,Data Submitted,13.0,6.0,0.0,
111,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,Data Submitted,23.0,15.0,< 5,
112,GOLDEN LIVING CENTER - BRENTWOOD,Data Submitted,< 5,0.0,0.0,
113,PARK PLACE SENIOR LIVING,Data Submitted,< 5,8.0,< 5,
114,SUGAR GROVE SENIOR LIVING,Data Submitted,< 5,0.0,0.0,
115,WYNNFIELD CROSSING,Data Submitted,< 5,< 5,< 5,
116,THE WATERS OF DILLSBORO - ROSS MANOR,Data Submitted,9.0,6.0,< 5,
117,COUNTRY CHARM,Data Submitted,< 5,< 5,< 5,
118,ROBIN RUN,Data Submitted,< 5,< 5,< 5,
119,CROWN POINT CHRISTIAN VILLAGE,Data Submitted,9.0,7.0,< 5,
120,FOUR SEASONS RETIREMENT CENTER,Data Submitted,37.0,27.0,12.0,
121,ROBIN RUN HEALTH CENTER,Data Submitted,33.0,12.0,6.0,
122,SYMPHONY OF DYER,Data Submitted,76.0,27.0,12.0,
123,HHC-ASC BETHANY VILLAGE ASSISTED LIVING,Data Submitted,< 5,0.0,0.0,
124,NEW ALBANY NURSING AND REHABILITATION CENTER,Data Submitted,22.0,5.0,< 5,
125,APERION CARE DEMOTTE,Data Submitted,45.0,5.0,9.0,
126,GREAT LAKES HEALTHCARE CENTER,Data Submitted,14.0,< 5,< 5,
127,ADDISON POINTE HEALTH & REHABILITATION CENTER,Data Submitted,10.0,5.0,< 5,
128,GOLDEN LIVING CENTER - INDIANAPOLIS,Data Submitted,5.0,< 5,0.0,
129,SIGNATURE HEALTHCARE AT PARKWOOD,Data Submitted,30.0,20.0,< 5,
130,MILLER'S MERRY MANOR - SYRACUSE,Data Submitted,< 5,0.0,0.0,
131,HEARTHSTONE HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
132,ENMOTION RECOVERY CARE,Data Submitted,< 5,< 5,0.0,
133,THE WATERS OF INDIANAPOLIS,Data Submitted,61.0,16.0,10.0,
134,MEADOWOOD HEALTH PAVILION,Data Submitted,< 5,5.0,0.0,
135,NORTH RIVER HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
136,MAJESTIC CARE OF WEST ALLEN,Data Submitted,13.0,< 5,< 5,
137,APERION CARE ANGOLA,Data Submitted,< 5,< 5,< 5,
138,BROWNSBURG HEALTH CARE CENTER,Data Submitted,27.0,13.0,9.0,
139,HHC-ASC GREENWOOD MEADOWS,Data Submitted,113.0,19.0,35.0,
140,PAOLI HEALTH AND LIVING COMMUNITY,Data Submitted,75.0,25.0,17.0,
141,FORUM AT THE CROSSING,Data Submitted,37.0,19.0,14.0,
142,HHC-ASC FOREST CREEK VILLAGE,Data Submitted,61.0,10.0,5.0,
143,SPRINGHURST HEALTH CAMPUS,Data Submitted,< 5,0.0,< 5,
144,MCGIVNEY HEALTH CARE CENTER,Data Submitted,10.0,< 5,< 5,
145,HHC-ASC WATERS EDGE VILLAGE,Data Submitted,10.0,8.0,< 5,
146,HHC-ASC RIVERSIDE VILLAGE,Data Submitted,17.0,< 5,< 5,
147,SEBO'S NURSING AND REHABILITATION CENTER,Data Submitted,61.0,21.0,15.0,
148,SHEFFIELD MANOR,Data Submitted,9.0,6.0,< 5,
149,HHC-ASC BROWNSBURG MEADOWS,Data Submitted,19.0,0.0,< 5,
150,HHC-ASC ROSEGATE VILLAGE,Data Submitted,105.0,36.0,28.0,
151,GRACE VILLAGE HEALTH CARE FACILITY,Data Submitted,18.0,18.0,< 5,
152,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,Data Submitted,34.0,18.0,9.0,
153,THE WATERS OF MARTINSVILLE,Data Submitted,34.0,12.0,9.0,
154,HUBBARD HILL ESTATES,Data Submitted,14.0,14.0,< 5,
155,GRAND BROOK MEMORY CARE OF FISHERS,Data Submitted,8.0,< 5,< 5,
156,HHC-ASC CANTERBURY NURSING AND REHABILITATION CENTER,Data Submitted,9.0,5.0,0.0,
157,CENTURY FIELDS RETIREMENT COMMUNITY,Data Submitted,5.0,< 5,< 5,
158,MORRISTOWN MANOR,Data Submitted,60.0,16.0,11.0,
159,APERION CARE FRANKFORT,Data Submitted,< 5,< 5,0.0,
160,GOLDEN LIVING CENTER - SYCAMORE VILLAGE,Data Submitted,17.0,< 5,< 5,
161,THE VILLAGES AT HISTORIC SILVERCREST,Data Submitted,< 5,< 5,0.0,
162,HERITAGE WOODS OF NOBLESVILLE,Data Submitted,12.0,6.0,< 5,
163,GOLDEN LIVING CENTER - LINCOLN HILLS,Data Submitted,< 5,< 5,0.0,
164,HHC-ASC COUNTRYSIDE MEADOWS,Data Submitted,52.0,7.0,9.0,
165,HHC-ASC WASHINGTON HEALTHCARE CENTER,Data Submitted,31.0,10.0,9.0,
166,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,68.0,12.0,13.0,
167,SYMPHONY OF CHESTERTON,Data Submitted,< 5,< 5,< 5,
168,RIVEROAKS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
169,SILVER OAKS HEALTH CAMPUS,Data Submitted,5.0,< 5,< 5,
170,RITTENHOUSE VILLAGE AT MICHIGAN CITY,Data Submitted,26.0,10.0,8.0,
171,CREEKSIDE HEALTH AND REHABILITATION CENTER,Data Submitted,50.0,36.0,17.0,
172,HEALTHWIN,Data Submitted,40.0,29.0,8.0,
173,GOLDEN LIVING CENTER - BROOKVIEW,Data Submitted,52.0,6.0,9.0,
174,HHC-ASC STONEBROOKE REHAB CENTER,Data Submitted,54.0,19.0,13.0,
175,SELLERSBURG HEALTHCARE CENTER,Data Submitted,17.0,15.0,< 5,
176,THE WATERS OF COVINGTON,Data Submitted,< 5,< 5,0.0,
177,PADDOCK SPRINGS,Data Submitted,< 5,< 5,< 5,
178,MORRISON WOODS HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
179,HAMILTON TRACE OF FISHERS,Data Submitted,48.0,17.0,15.0,
180,WESTMINSTER VILLAGE NORTH,Data Submitted,20.0,24.0,14.0,
181,WILLOW LAKE PLACE,Data Submitted,11.0,5.0,6.0,
182,WESTPARK A WATERS COMMUNITY,Data Submitted,83.0,< 5,10.0,
183,THE WATERS OF LEBANON,Data Submitted,36.0,5.0,5.0,
184,THE SPRINGS OF LAFAYETTE,Data Submitted,< 5,0.0,0.0,
185,MILLER'S MERRY MANOR - HOPE,Data Submitted,18.0,5.0,< 5,
186,COMPASS PARK - INDIANA MASONIC HOME,Data Submitted,< 5,< 5,< 5,
187,HHC-ASC BROWNSBURG MEADOWS ASSISTED LIVING,Data Submitted,61.0,23.0,22.0,
188,GOLDEN LIVING CENTER - MUNCIE,Data Submitted,< 5,0.0,0.0,
189,COLONIAL OAKS HEALTH CARE CENTER,Data Submitted,58.0,37.0,19.0,
190,GOLDEN LIVING CENTER - BLOOMINGTON,Data Submitted,103.0,25.0,19.0,
191,NORTH RIDGE VILLAGE NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0.0,
192,MARQUETTE,Data Submitted,15.0,14.0,6.0,
193,BERTHA D GARTEN KETCHAM MEMORIAL CENTER,Data Submitted,30.0,21.0,14.0,
194,THE MILTON HOME,Data Submitted,< 5,0.0,< 5,
195,APERION CARE MARION,Data Submitted,< 5,< 5,0.0,
196,DYER NURSING AND REHABILITATION CENTER,Data Submitted,112.0,28.0,24.0,
197,STONEBRIDGE HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
198,HAMILTON GROVE,Data Submitted,38.0,22.0,16.0,
199,PRESENCE SACRED HEART HOME,Data Submitted,28.0,7.0,12.0,
200,LAKEVIEW MANOR,Data Submitted,21.0,< 5,< 5,
201,HARRISON HEALTHCARE CENTER,Data Submitted,61.0,12.0,11.0,
202,REHABILITATION CENTER AT HARTSFIELD VILLAGE,Data Submitted,< 5,< 5,< 5,
203,HHC-ASC TRAILPOINT VILLAGE,Data Submitted,< 5,< 5,0.0,
204,HHC-ASC SUMMIT CITY NURSING AND REHABILITATION,Data Submitted,< 5,7.0,0.0,
205,FOREST PARK HEALTH CAMPUS,Data Submitted,< 5,0.0,< 5,
206,THE HARRISON AT EAGLE VALLEY,Data Submitted,32.0,18.0,< 5,
207,BROOKDALE CARMEL,Data Submitted,16.0,6.0,7.0,
208,HOMEWOOD HEALTH CAMPUS,Data Submitted,46.0,16.0,24.0,
209,CLEARVISTA LAKE HEALTH CAMPUS,Data Submitted,< 5,11.0,0.0,
210,HARRISON'S CROSSING HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
211,HHC-ASC BEECH GROVE MEADOWS ASSISTED LIVING,Data Submitted,< 5,0.0,< 5,
212,HAMMOND-WHITING CARE CENTER,Data Submitted,53.0,23.0,15.0,
213,HOMESTEAD HEALTHCARE CENTER,Data Submitted,< 5,5.0,0.0,
214,RICHLAND BEAN BLOSSOM HEALTH CARE CENTER,Data Submitted,< 5,0.0,< 5,
215,WATERFORD CROSSING,Data Submitted,< 5,< 5,0.0,
216,MILLER'S MERRY MANOR - FORT WAYNE,Data Submitted,< 5,< 5,0.0,
217,LINCOLNSHIRE HEALTH & REHABILITATION CENTER,Data Submitted,12.0,9.0,< 5,
218,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,Data Submitted,9.0,< 5,< 5,
219,RIVERWALK COMMUNITIES,Data Submitted,< 5,< 5,0.0,
220,GOLDEN LIVING CENTER - GOLDEN RULE,Data Submitted,< 5,0.0,0.0,
221,DECATUR TOWNSHIP CENTER,Data Submitted,23.0,9.0,7.0,
222,GOLDEN LIVING CENTER - RICHMOND,Data Submitted,< 5,< 5,< 5,
223,HOLY CROSS VILLAGE AT NOTRE DAME,Data Submitted,< 5,0.0,0.0,
224,ARBOR TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5,
225,APPLE RIDGE ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,< 5,0.0,
226,HHC-ASC ROSEWALK VILLAGE OF LAFAYETTE,Data Submitted,55.0,15.0,5.0,
227,WARSAW MEADOWS,Data Submitted,< 5,< 5,0.0,
228,MEMORIAL HOSPITAL - SKILLED CARING CENTER,Data Submitted,< 5,< 5,0.0,
229,GREENLEAF HEALTH CAMPUS,Data Submitted,48.0,32.0,19.0,
230,BROOKVILLE HEALTHCARE CENTER,Data Submitted,< 5,< 5,0.0,
231,ST ANDREWS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
232,HHC-ASC MEADOW LAKES ASSISTED LIVING,Data Submitted,< 5,0.0,< 5,
233,MITCHELL MANOR,Data Submitted,46.0,7.0,14.0,
234,ALPHA HOME - A WATERS COMMUNITY,Data Submitted,57.0,12.0,18.0,
235,ASHTON CREEK HEALTH AND REHABILITATION CENTER,Data Submitted,32.0,< 5,< 5,
236,HHC-ASC NORTH CAPITOL NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0.0,
237,LINDBERG CROSSING SENIOR LIVING,Data Submitted,< 5,0.0,< 5,
238,ELKHART PLACE,Data Submitted,< 5,0.0,0.0,
239,CROWNPOINTE OF ANDERSON,Data Submitted,6.0,< 5,< 5,
240,SUMMIT HEALTH AND LIVING,Data Submitted,19.0,27.0,6.0,
241,ELMCROFT OF MUNCIE,Data Submitted,8.0,< 5,< 5,
242,HEARTH AT WINDERMERE,Data Submitted,12.0,8.0,6.0,
243,HICKORY CREEK AT NEW CASTLE,Data Submitted,< 5,0.0,< 5,
244,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,Data Submitted,8.0,5.0,< 5,
245,THORNTON TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
246,TRADITIONS AT REAGAN PARK,Data Submitted,< 5,< 5,0.0,
247,LIFE CARE CENTER OF THE WILLOWS,Data Submitted,52.0,17.0,12.0,
248,RIVER TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
249,ROSE SENIOR LIVING CARMEL,Data Submitted,11.0,13.0,0.0,
250,BLOOMINGTON NURSING AND REHABILITATION CENTER,Data Submitted,30.0,< 5,< 5,
251,RITTENHOUSE VILLAGE AT NORTHSIDE,Data Submitted,< 5,0.0,< 5,
252,WOODLAND TERRACE OF CARMEL,Data Submitted,< 5,< 5,< 5,
253,LAKE COUNTY NURSING AND REHABILITATION CENTER,Data Submitted,22.0,8.0,< 5,
254,HHC-ASC SPRING MILL MEADOWS,Data Submitted,46.0,5.0,13.0,
255,MILL POND HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
256,NORTH WOODS VILLAGE AT INVERNESS LAKE,Data Submitted,< 5,< 5,0.0,
257,GREENWOOD HEALTHCARE CENTER,Data Submitted,192.0,34.0,31.0,
258,KESSLERWOOD PLACE,Data Submitted,32.0,10.0,14.0,
259,MAJESTIC CARE OF FORT WAYNE,Data Submitted,< 5,0.0,0.0,
260,BLOOM AT KOKOMO,Data Submitted,13.0,9.0,5.0,
261,HHC-ASC AMERICAN VILLAGE ASSISTED LIVING,Data Submitted,23.0,0.0,< 5,
262,HHC-ASC AMERICAN VILLAGE,Data Submitted,79.0,17.0,16.0,
263,HOOSIER VILLAGE,Data Submitted,14.0,16.0,< 5,
264,EVERGREEN CROSSING AND THE LOFTS,Data Submitted,21.0,< 5,< 5,
265,HHC-ASC ROSEWALK AT LUTHERWOODS,Data Submitted,< 5,< 5,0.0,
266,MILLER'S MERRY MANOR - INDY EAST,Data Submitted,52.0,17.0,6.0,
267,HEALTH CENTER AT GLENBURN HOME,Data Submitted,99.0,33.0,32.0,
268,HHC-ASC CARDINAL NURSING AND REHABILITATION CENTER,Data Submitted,100.0,16.0,25.0,
269,HHC-ASC FAIRWAY VILLAGE,Data Submitted,42.0,14.0,14.0,
270,RURAL HEALTH CARE CENTER,Data Submitted,< 5,< 5,0.0,
271,WALNUT CREEK ALZHEIMER'S,Data Submitted,< 5,< 5,0.0,
272,APERION CARE ARBORS MICHIGAN CITY,Data Submitted,10.0,< 5,< 5,
273,CENTURY VILLA HEALTH CARE,Data Submitted,33.0,23.0,8.0,
274,THE HEARTH AT STONES CROSSING,Data Submitted,8.0,< 5,< 5,
275,WICKSHIRE FORT HARRISON,Data Submitted,< 5,< 5,0.0,
276,SILVER BIRCH OF HAMMOND,Data Submitted,< 5,< 5,0.0,
277,PARK PLACE HEALTH AND WELLNESS CENTER,Data Submitted,< 5,0.0,0.0,
278,GREENBRIAR VILLAGE,Data Submitted,9.0,0.0,< 5,
279,WELLBROOKE OF AVON,Data Submitted,10.0,< 5,< 5,
280,MILLER'S SENIOR LIVING COMMUNITY,Data Submitted,38.0,9.0,10.0,
281,NORTHWEST MANOR HEALTH CARE CENTER,Data Submitted,73.0,41.0,21.0,
282,HHC-ASC HERITAGE PARK,Data Submitted,81.0,11.0,15.0,
283,HHC-ASC RIVERWALK VILLAGE,Data Submitted,< 5,< 5,0.0,
284,RESIDENCES AT DEER CREEK,Data Submitted,< 5,< 5,0.0,
285,HHC-ASC BETHLEHEM WOODS NURSING AND REHABILITATION,Data Submitted,68.0,17.0,24.0,
286,CROWNPOINTE OF INDIANAPOLIS,Data Submitted,< 5,< 5,0.0,
287,WELLBROOKE OF KOKOMO,Data Submitted,< 5,< 5,0.0,
288,HHC-ASC BEECH GROVE MEADOWS,Data Submitted,16.0,6.0,< 5,
289,SANCTUARY AT HOLY CROSS,Data Submitted,< 5,< 5,0.0,
290,GOOD SAMARITAN HOME HEALTH CENTER,Data Submitted,7.0,< 5,< 5,
291,SOUTHPOINTE HEALTHCARE CENTER,Data Submitted,22.0,10.0,6.0,
292,GREENFIELD HEALTHCARE CENTER,Data Submitted,77.0,15.0,19.0,
293,GOLDEN LIVING CENTER - MERRILLVILLE,Data Submitted,10.0,< 5,0.0,
294,MILLER'S MERRY MANOR - WAKARUSA,Data Submitted,14.0,< 5,< 5,
295,SILVER BIRCH OF MUNCIE,Data Submitted,< 5,< 5,< 5,
296,MAJESTIC CARE OF AVON,Data Submitted,10.0,< 5,< 5,
297,HHC-ASC VALPARAISO CARE & REHABILITATION,Data Submitted,0.0,< 5,0.0,
298,LODGE OF THE WABASH,Data Submitted,0.0,< 5,0.0,
299,SOUTHFIELD VILLAGE,Data Submitted,0.0,< 5,0.0,
300,HAMILTON PLACE,Data submitted - no case to report,0.0,0.0,0.0,
301,HELLENIC SENIOR LIVING OF NEW ALBANY,Data submitted - no case to report,0.0,0.0,0.0,
302,WILLOWBEND LIVING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
303,ALTENHEIM HEALTH & LIVING COMMUNITY,Data Submitted,0.0,5.0,0.0,
304,MILLER'S MERRY MANOR - CHESTERFIELD,Data submitted - no case to report,0.0,0.0,0.0,
305,CHAPMAN PLACE,Data submitted - no case to report,0.0,0.0,0.0,
306,HERITAGE HEALTHCARE,Data submitted - no case to report,0.0,0.0,0.0,
307,BELVEDERE SENIOR HOUSING,Data Submitted,0.0,< 5,0.0,
308,THE WATERS OF MUNCIE,Data submitted - no case to report,0.0,0.0,0.0,
309,NEWBURGH HEALTH CARE,Data Submitted,0.0,< 5,0.0,
310,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,Data Submitted,0.0,< 5,0.0,
311,CLOVERLEAF OF KNIGHTSVILLE,Data Submitted,0.0,< 5,0.0,
312,HARRISON SPRINGS HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
313,GOLDEN LIVING CENTER - FOUNTAINVIEW,Data submitted - no case to report,0.0,0.0,0.0,
314,SILVER BIRCH OF MICHIGAN CITY,Data Submitted,0.0,< 5,0.0,
315,HERITAGE HOUSE OF NEW CASTLE,Data Submitted,0.0,< 5,0.0,
316,BLOOM AT GERMAN CHURCH,Data submitted - no case to report,0.0,0.0,0.0,
317,LAFAYETTE BICKFORD COTTAGE,Data submitted - no case to report,0.0,0.0,0.0,
318,WESLEYAN HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
319,WHITE OAK HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
320,WOODBRIDGE HEALTH CAMPUS,Data Submitted,0.0,7.0,0.0,
321,GREEN HOUSE VILLAGE OF GOSHEN,Data submitted - no case to report,0.0,0.0,0.0,
