_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
58,BLAIR RIDGE HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
59,BLISS PLACE,Data Submitted,0.0,< 5,0.0,
60,BLOOM AT EAGLE CREEK,Data Submitted,0.0,0.0,0.0,
61,BLOOM AT GERMAN CHURCH,Data Submitted,0.0,0.0,0.0,
62,BLOOM AT KOKOMO,Data Submitted,13.0,9.0,5.0,
63,BLOOMINGTON NURSING AND REHABILITATION CENTER,Data Submitted,30.0,< 5,< 5,
64,BLUFFTON REGIONAL MEDICAL CENTER CONTINUING CARE,Data Submitted,0.0,< 5,0.0,
65,BRAUN'S NURSING HOME,Data Submitted,< 5,< 5,0.0,
66,BRECKENRIDGE COMMONS,Data Submitted,0.0,0.0,0.0,
67,BRECKENRIDGE HEALTH & REHABILITATION,Data Submitted,0.0,0.0,0.0,
68,BRENTWOOD AT HOBART,Data Submitted,< 5,5.0,0.0,
69,BRENTWOOD AT LAPORTE,Data Submitted,0.0,0.0,0.0,
70,BRIARCLIFF HEALTH & REHABILITATION CENTER,Data Submitted,< 5,< 5,0.0,
71,BRIDGE AT GARDEN PLAZA,Data Submitted,< 5,< 5,< 5,
72,BRIDGEPOINTE HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
73,BRIDGEWATER HEALTHCARE CENTER,Data Submitted,7.0,< 5,0.0,
74,BRIDGEWATER REHABILITATION CENTRE,Data Submitted,0.0,< 5,0.0,
75,BRIGHTSTAR SENIOR LIVING OF FORT WAYNE,Data Submitted,0.0,0.0,0.0,
76,BROOKDALE BLOOMINGTON,Data Submitted,0.0,0.0,0.0,
77,BROOKDALE CARMEL,Data Submitted,16.0,6.0,7.0,
78,BROOKDALE FORT WAYNE,Data Submitted,< 5,< 5,0.0,
79,BROOKDALE GRANGER,Data Submitted,0.0,< 5,0.0,
80,BROOKDALE RICHMOND,Data Submitted,0.0,0.0,0.0,
81,BROOKDALE SOUTH BEND,Data Submitted,0.0,0.0,0.0,
82,BROOKDALE VALPARAISO,Data Submitted,< 5,< 5,0.0,
83,BROOKE KNOLL VILLAGE,Data Submitted,13.0,6.0,< 5,
84,BROOKSIDE CARE STRATEGIES,Data Submitted,0.0,0.0,0.0,
85,BROOKSIDE VILLAGE,Data Submitted,5.0,< 5,< 5,
86,BROOKVILLE HEALTHCARE CENTER,Data Submitted,29.0,9.0,6.0,
87,BROWN COUNTY HEALTH AND LIVING COMMUNITY,Data Submitted,0.0,0.0,0.0,
88,BROWNSBURG HEALTH CARE CENTER,Data Submitted,27.0,13.0,11.0,
89,HHC-ASC BROWNSBURG MEADOWS ASSISTED LIVING,Data Submitted,62.0,23.0,27.0,
90,BYRON HEALTH CENTER,Data Submitted,0.0,< 5,0.0,
91,CAMELOT CARE CENTER,Data Submitted,< 5,< 5,0.0,
92,CANNON INN ASSISTED LIVING,Data Submitted,0.0,0.0,0.0,
93,CARMEL HEALTH & LIVING COMMUNITY,Data Submitted,42.0,16.0,16.0,
94,CARMEL SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
95,CAROLETON HEALTHCARE CENTER,Data Submitted,0.0,0.0,0.0,
96,CASTLETON HEALTH CARE CENTER,Data Submitted,< 5,5.0,0.0,
97,CATHEDRAL HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
98,CATHERINE KASPER HOME,Data Submitted,0.0,0.0,0.0,
99,CEDAR CREEK HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
100,CENTURY VILLA HEALTH CARE,Data Submitted,35.0,23.0,12.0,
101,CHALET VILLAGE HEALTH AND REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
102,CHANDLER PLACE,Data Submitted,0.0,0.0,0.0,
103,CHAPMAN PLACE,Data Submitted,0.0,0.0,0.0,
104,CHARLES FORD MEMORIAL HOME,Data Submitted,0.0,0.0,0.0,
105,CHASE CENTER,Data Submitted,0.0,< 5,0.0,
106,CHATEAU OF BATESVILLE,Data Submitted,< 5,0.0,0.0,
107,CHESTERTON MANOR,Data Submitted,0.0,0.0,0.0,
108,CHRISTIAN CARE RETIREMENT COMMUNITY,Data Submitted,< 5,5.0,< 5,
109,CHRISTINA PLACE,Data Submitted,0.0,0.0,0.0,
110,CLARENDALE OF SCHERERVILLE,Data Submitted,8.0,9.0,< 5,
111,CLARKSVILLE SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
112,CLEARVISTA LAKE HEALTH CAMPUS,Data Submitted,< 5,11.0,0.0,
113,CLOVERLEAF OF KNIGHTSVILLE,Data Submitted,0.0,< 5,0.0,
114,COBBLESTONE CROSSINGS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
115,COLONIAL NURSING HOME,Data Submitted,0.0,< 5,0.0,
116,COLONIAL OAKS HEALTH CARE CENTER,Data Submitted,58.0,37.0,19.0,
117,COLUMBUS TRANSITIONAL CARE AND REHABILITATION,Data Submitted,74.0,18.0,16.0,
118,COMPASS PARK - INDIANA MASONIC HOME,Data Submitted,< 5,< 5,< 5,
119,COPPER TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5,
120,CORE OF BEDFORD,Data Submitted,0.0,< 5,0.0,
121,CORE OF DALE,Data Submitted,0.0,0.0,0.0,
122,COUNTRY CHARM,Data Submitted,< 5,< 5,< 5,
123,COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
124,COURTYARD HEALTHCARE CENTER,Data Submitted,12.0,9.0,< 5,
125,HHC-ASC COVENTRY MEADOWS ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
126,COVERED BRIDGE HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
127,CRAWFORDSVILLE BICKFORD COTTAGE,Data Submitted,0.0,0.0,0.0,
128,CREASY SPRINGS HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
129,CREEKSIDE HEALTH AND REHABILITATION CENTER,Data Submitted,50.0,36.0,18.0,
130,CRESTWOOD VILLAGE SOUTH APARTMENTS,Data Submitted,< 5,< 5,0.0,
131,CROWN POINT CHRISTIAN VILLAGE,Data Submitted,9.0,7.0,< 5,
132,CROWN POINTE SENIOR LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
133,CROWN SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
134,CROWNPOINTE OF ANDERSON,Data Submitted,6.0,< 5,< 5,
135,CROWNPOINTE OF CARMEL,Data Submitted,0.0,0.0,0.0,
136,CROWNPOINTE OF GREENFIELD,Data Submitted,0.0,0.0,0.0,
137,CROWNPOINTE OF HARTFORD CITY,Data Submitted,0.0,0.0,0.0,
138,CROWNPOINTE OF INDIANAPOLIS,Data Submitted,< 5,< 5,0.0,
139,CROWNPOINTE OF LEBANON,Data Submitted,0.0,0.0,0.0,
140,CROWNPOINTE OF PORTLAND,Data Submitted,0.0,0.0,0.0,
141,CUMBERLAND POINTE HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
142,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,Data Submitted,23.0,15.0,< 5,
143,DECATUR TOWNSHIP CENTER,Data Submitted,23.0,10.0,7.0,
144,DEMAREE CROSSING ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,0.0,< 5,
145,DIGBY PLACE,Data Submitted,0.0,< 5,0.0,
146,DIVERSICARE OF PROVIDENCE,Data Submitted,103.0,38.0,33.0,
147,DYER NURSING AND REHABILITATION CENTER,Data Submitted,116.0,31.0,27.0,
148,EAGLE CREEK HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
149,EASTLAKE TERRACE,Data Submitted,< 5,< 5,< 5,
150,ELKHART PLACE,Data Submitted,< 5,0.0,0.0,
151,ELMCROFT OF MUNCIE,Data Submitted,8.0,< 5,< 5,
152,ELWOOD HEALTH AND LIVING,Data Submitted,< 5,0.0,0.0,
153,EMERALD PLACE,Data Submitted,0.0,0.0,0.0,
154,ENGLEWOOD HEALTH & REHABILITATION CENTER,Data Submitted,22.0,9.0,6.0,
155,ENMOTION RECOVERY CARE,Data Submitted,< 5,< 5,0.0,
156,ESPECIALLY KIDZ HEALTH & REHAB,Data Submitted,0.0,< 5,0.0,
157,ESSEX NURSING AND REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
158,EVANSVILLE PROTESTANT HOME,Data Submitted,0.0,0.0,0.0,
159,EVERGREEN CROSSING AND THE LOFTS,Data Submitted,21.0,< 5,< 5,
160,EVERGREEN VILLAGE AT BLOOMINGTON,Data Submitted,0.0,0.0,0.0,
161,EXCEPTIONAL LIVING CENTER OF BRAZIL,Data Submitted,0.0,0.0,0.0,
162,FIVE STAR RESIDENCES OF BANTA POINTE,Data Submitted,0.0,< 5,0.0,
163,FIVE STAR RESIDENCES OF CLEARWATER,Data Submitted,0.0,0.0,0.0,
164,FIVE STAR RESIDENCES OF FORT WAYNE,Data Submitted,0.0,< 5,0.0,
165,FIVE STAR RESIDENCES OF LAFAYETTE,Data Submitted,0.0,0.0,0.0,
166,FIVE STAR RESIDENCES OF NOBLESVILLE,Data Submitted,0.0,< 5,0.0,
167,FIVE STAR RESIDENCES OF NORTHWOODS,Data Submitted,0.0,0.0,0.0,
168,FLATROCK RIVER LODGE,Data Submitted,0.0,< 5,0.0,
169,FOREST PARK HEALTH CAMPUS,Data Submitted,< 5,0.0,< 5,
170,FORUM AT THE CROSSING,Data Submitted,37.0,21.0,15.0,
171,FOUR SEASONS RETIREMENT CENTER,Data Submitted,38.0,27.0,12.0,
172,FRANCISCAN HEALTH ALTERNACARE,Data Submitted,0.0,0.0,0.0,
173,FREELANDVILLE COMMUNITY HOME,Data Submitted,0.0,0.0,0.0,
174,FRIENDS FELLOWSHIP COMMUNITY,Data Submitted,0.0,< 5,0.0,
175,GARDEN VILLA - BEDFORD,Data Submitted,0.0,< 5,0.0,
176,GARDEN VILLA - BLOOMINGTON,Data Submitted,0.0,< 5,0.0,
177,GENTLECARE OF VINCENNES,Data Submitted,0.0,0.0,0.0,
178,GENTRY PARK,Data Submitted,0.0,< 5,0.0,
179,GEORGE ADE MEMORIAL HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
180,GEORGETOWN PLACE,Data Submitted,0.0,0.0,0.0,
181,GLASSWATER CREEK OF LAFAYETTE,Data Submitted,< 5,< 5,0.0,
182,GLASSWATER CREEK OF PLAINFIELD,Data Submitted,0.0,0.0,0.0,
183,GLEN OAKS HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
184,GOLDEN LIVING CENTER - BLOOMINGTON,Data Submitted,104.0,25.0,20.0,
185,GOLDEN LIVING CENTER - BRANDYWINE,Data Submitted,0.0,< 5,0.0,
186,GOLDEN LIVING CENTER - BRENTWOOD,Data Submitted,6.0,< 5,0.0,
187,GOLDEN LIVING CENTER - BROOKVIEW,Data Submitted,52.0,6.0,9.0,
188,GOLDEN LIVING CENTER - ELKHART,Data Submitted,0.0,< 5,0.0,
189,GOLDEN LIVING CENTER - FOUNTAINVIEW,Data Submitted,0.0,0.0,0.0,
190,GOLDEN LIVING CENTER - FOUNTAINVIEW PLACE,Data Submitted,0.0,10.0,0.0,
191,GOLDEN LIVING CENTER - FOUNTAINVIEW TERRACE,Data Submitted,0.0,< 5,0.0,
192,GOLDEN LIVING CENTER - GOLDEN RULE,Data Submitted,< 5,14.0,0.0,
193,GOLDEN LIVING CENTER - INDIANAPOLIS,Data Submitted,5.0,< 5,0.0,
194,GOLDEN LIVING CENTER - KNOX,Data Submitted,0.0,< 5,0.0,
195,GOLDEN LIVING CENTER - LAPORTE,Data Submitted,0.0,0.0,0.0,
196,GOLDEN LIVING CENTER - LINCOLN HILLS,Data Submitted,< 5,< 5,< 5,
197,GOLDEN LIVING CENTER - MERRILLVILLE,Data Submitted,30.0,22.0,6.0,
198,GOLDEN LIVING CENTER - MUNCIE,Data Submitted,< 5,0.0,0.0,
199,GOLDEN LIVING CENTER - PETERSBURG,Data Submitted,0.0,0.0,0.0,
200,GOLDEN LIVING CENTER - RICHMOND,Data Submitted,< 5,< 5,< 5,
201,GOLDEN LIVING CENTER - SYCAMORE VILLAGE,Data Submitted,17.0,< 5,< 5,
202,GOLDEN LIVING CENTER - VALPARAISO,Data Submitted,< 5,7.0,0.0,
203,GOLDEN LIVING CENTER - WILLOW SPRINGS,Data Submitted,77.0,11.0,18.0,
204,GOLDEN LIVING CENTER - WOODBRIDGE,Data Submitted,0.0,0.0,0.0,
205,GOLDEN LIVING CENTER - WOODLANDS,Data Submitted,0.0,< 5,0.0,
206,GOLDEN LIVING CENTER - MISHAWAKA,Data Submitted,0.0,0.0,0.0,
207,GOLDEN YEARS HOMESTEAD,Data Submitted,5.0,5.0,0.0,
208,GOOD SAMARITAN HOME HEALTH CENTER,Data Submitted,7.0,< 5,< 5,
209,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,Data Submitted,8.0,6.0,< 5,
210,GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM,Data Submitted,0.0,0.0,0.0,
211,GRACE VILLAGE HEALTH CARE FACILITY,Data Submitted,19.0,21.0,< 5,
212,GRAND BROOK MEMORY CARE OF FISHERS,Data Submitted,8.0,< 5,< 5,
213,GRAND BROOK MEMORY CARE OF GREENWOOD,Data Submitted,0.0,0.0,0.0,
214,GRAND BROOK MEMORY CARE OF ZIONSVILLE,Data Submitted,5.0,0.0,< 5,
215,GRAND EMERALD PLACE,Data Submitted,0.0,< 5,0.0,
216,GRAND VALLEY GARDENS ASSISTED LIVING FACILITY,Data Submitted,0.0,0.0,0.0,
217,GRAND VALLEY HEALTH & REHAB,Data Submitted,< 5,< 5,0.0,
218,GREAT LAKES HEALTHCARE CENTER,Data Submitted,14.0,< 5,< 5,
219,GREEN HOUSE COTTAGES OF CARMEL,Data Submitted,< 5,< 5,< 5,
220,GREEN HOUSE VILLAGE OF GOSHEN,Data Submitted,0.0,0.0,0.0,
221,GREEN VALLEY CARE CENTER,Data Submitted,23.0,21.0,0.0,
222,GREENBRIAR VILLAGE,Data Submitted,10.0,0.0,< 5,
223,GREENCROFT HEALTHCARE,Data Submitted,39.0,22.0,10.0,
224,GREENFIELD HEALTHCARE CENTER,Data Submitted,77.0,15.0,21.0,
225,GREENHILL MANOR,Data Submitted,0.0,0.0,0.0,
226,GREENLEAF HEALTH CAMPUS,Data Submitted,48.0,34.0,20.0,
227,GREENWOOD HEALTH AND LIVING COMMUNITY,Data Submitted,< 5,0.0,0.0,
228,GREENWOOD HEALTHCARE CENTER,Data Submitted,193.0,34.0,34.0,
229,GREENWOOD VILLAGE SOUTH,Data Submitted,0.0,< 5,0.0,
230,GREY STONE HEALTH & REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
231,HAMILTON GROVE,Data Submitted,40.0,25.0,16.0,
232,HAMILTON PLACE,Data Submitted,0.0,0.0,0.0,
233,HAMILTON TRACE OF FISHERS,Data Submitted,48.0,19.0,18.0,
234,HAMMOND-WHITING CARE CENTER,Data Submitted,53.0,23.0,15.0,
235,HAMPTON OAKS HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
236,HANOVER NURSING CENTER,Data Submitted,0.0,0.0,0.0,
237,HARBOUR MANOR HEALTH & LIVING COMMUNITY,Data Submitted,12.0,8.0,< 5,
238,HARRISON HEALTHCARE CENTER,Data Submitted,61.0,12.0,19.0,
239,HARRISON SPRINGS HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
240,HARRISON'S CROSSING HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
241,HARTSFIELD VILLAGE ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
242,HEALTH CENTER AT GLENBURN HOME,Data Submitted,98.0,33.0,33.0,
243,HEALTHCARE CENTER AT WITTENBERG VILLAGE,Data Submitted,0.0,< 5,0.0,
244,HEALTHWIN,Data Submitted,40.0,30.0,8.0,
245,HEARTH AT WINDERMERE,Data Submitted,12.0,8.0,6.0,
246,HEARTHSTONE HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
247,HELLENIC SENIOR LIVING OF ELKHART,Data Submitted,0.0,0.0,0.0,
248,HELLENIC SENIOR LIVING OF INDIANAPOLIS,Data Submitted,0.0,0.0,0.0,
249,HELLENIC SENIOR LIVING OF NEW ALBANY,Data Submitted,0.0,0.0,0.0,
250,HERITAGE CENTER,Data Submitted,0.0,< 5,0.0,
251,HERITAGE HEALTHCARE,Data Submitted,0.0,0.0,0.0,
252,HERITAGE HOUSE OF GREENSBURG,Data Submitted,0.0,< 5,0.0,
253,HERITAGE HOUSE OF NEW CASTLE,Data Submitted,0.0,< 5,0.0,
254,HERITAGE HOUSE OF RICHMOND,Data Submitted,0.0,0.0,0.0,
255,HERITAGE HOUSE OF SHELBYVILLE,Data Submitted,0.0,0.0,0.0,
256,HERITAGE OF HUNTINGTON,Data Submitted,0.0,< 5,0.0,
257,HERITAGE POINT ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0.0,0.0,0.0,
258,HERITAGE POINT OF WARREN,Data Submitted,0.0,< 5,0.0,
259,HERITAGE POINTE OF FORT WAYNE,Data Submitted,11.0,5.0,< 5,
260,HERITAGE WOODS OF NOBLESVILLE,Data Submitted,12.0,8.0,< 5,
261,HHC-ASC ALLISONVILLE MEADOWS,Data Submitted,0.0,< 5,0.0,
262,HHC-ASC ALLISONVILLE MEADOWS ASSISTED LIVING,Data Submitted,< 5,< 5,< 5,
263,HHC-ASC AMERICAN VILLAGE,Data Submitted,80.0,16.0,16.0,
264,HHC-ASC ARBOR GROVE VILLAGE,Data Submitted,31.0,16.0,9.0,
265,HHC-ASC AUTUMN RIDGE REHABILITATION CENTRE,Data Submitted,0.0,< 5,0.0,
266,HHC-ASC AVALON VILLAGE,Data Submitted,0.0,< 5,0.0,
267,HHC-ASC BEECH GROVE MEADOWS,Data Submitted,16.0,6.0,< 5,
268,HHC-ASC BEN HUR HEALTH AND REHAB,Data Submitted,64.0,11.0,19.0,
269,HHC-ASC BETHANY VILLAGE,Data Submitted,0.0,< 5,0.0,
270,HHC-ASC BETHANY VILLAGE ASSISTED LIVING,Data Submitted,< 5,0.0,0.0,
271,HHC-ASC BETHLEHEM WOODS NURSING AND REHABILITATION,Data Submitted,69.0,17.0,24.0,
272,HHC-ASC BETZ NURSING HOME,Data Submitted,< 5,< 5,0.0,
273,HHC-ASC BROWNSBURG MEADOWS,Data Submitted,20.0,0.0,6.0,
274,HHC-ASC CANTERBURY NURSING AND REHABILITATION CENTER,Data Submitted,11.0,6.0,0.0,
275,HHC-ASC CARDINAL NURSING AND REHABILITATION CENTER,Data Submitted,100.0,16.0,25.0,
276,HHC-ASC CLARK REHABILITATION AND SKILLED NURSING CENTER,Data Submitted,0.0,< 5,0.0,
277,HHC-ASC CLINTON GARDENS,Data Submitted,0.0,< 5,0.0,
278,HHC-ASC COLUMBIA HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
279,HHC-ASC COMMUNITY NURSING AND REHABILITATION CENTER,Data Submitted,10.0,14.0,< 5,
280,HHC-ASC COUNTRYSIDE MEADOWS,Data Submitted,54.0,7.0,11.0,
281,HHC-ASC COVENTRY MEADOWS,Data Submitted,0.0,< 5,0.0,
282,HHC-ASC CREEKSIDE VILLAGE,Data Submitted,0.0,< 5,0.0,
283,HHC-ASC CYPRESS GROVE REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
284,HHC-ASC DANVILLE REGIONAL REHABILITATION,Data Submitted,7.0,0.0,< 5,
285,HHC-ASC EAGLE VALLEY MEADOWS,Data Submitted,0.0,< 5,0.0,
286,HHC-ASC EAST LAKE NURSING & REHABILITATION CENTER,Data Submitted,< 5,5.0,0.0,
287,HHC-ASC EASTGATE MANOR NURSING & REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
288,HHC-ASC EDGEWATER WOODS,Data Submitted,0.0,< 5,0.0,
289,HHC-ASC ELKHART MEADOWS,Data Submitted,7.0,< 5,0.0,
290,HHC-ASC FAIRWAY VILLAGE,Data Submitted,42.0,14.0,14.0,
291,HHC-ASC FOREST CREEK VILLAGE,Data Submitted,62.0,10.0,14.0,
292,HHC-ASC FRANKLIN MEADOWS,Data Submitted,0.0,< 5,0.0,
293,HHC-ASC GLENBROOK REHABILITATION & SKILLED NURSING CENTER,Data Submitted,0.0,< 5,0.0,
294,HHC-ASC GOOD SAMARITAN HOME & REHABILITATIVE CENTER,Data Submitted,0.0,< 5,0.0,
295,HHC-ASC GREENWOOD MEADOWS,Data Submitted,113.0,19.0,35.0,
296,HHC-ASC HARCOURT TERRACE NURSING AND REHABILITATION,Data Submitted,48.0,8.0,10.0,
297,HHC-ASC HARRISON TERRACE,Data Submitted,71.0,16.0,39.0,
298,HHC-ASC HERITAGE HOUSE REHAB & HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
299,HHC-ASC HERITAGE PARK,Data Submitted,83.0,13.0,22.0,
300,HHC-ASC HERITAGE PARK COMMONS,Data Submitted,< 5,0.0,0.0,
301,HHC-ASC HILLCREST VILLAGE,Data Submitted,28.0,5.0,< 5,
302,HHC-ASC LAKE POINTE VILLAGE,Data Submitted,0.0,< 5,0.0,
303,HHC-ASC LOWELL HEALTHCARE,Data Submitted,0.0,< 5,0.0,
304,HHC-ASC MAPLE PARK VILLAGE,Data Submitted,< 5,< 5,< 5,
305,HHC-ASC MARKLE HEALTH & REHABILITATION,Data Submitted,0.0,0.0,0.0,
306,HHC-ASC MEADOW LAKES,Data Submitted,59.0,16.0,15.0,
307,HHC-ASC MEADOW VIEW HEALTH AND REHABILITATION,Data Submitted,0.0,0.0,0.0,
308,HHC-ASC MONTICELLO HEALTHCARE,Data Submitted,42.0,15.0,10.0,
309,HHC-ASC MOUNT VERNON NURSINGAND REHABILITATION,Data Submitted,0.0,< 5,0.0,
310,HHC-ASC NORTH CAPITOL NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0.0,
311,HHC-ASC NORTH PARK NURSING CENTER,Data Submitted,0.0,0.0,0.0,
312,HHC-ASC NORTH WOODS VILLAGE,Data Submitted,97.0,9.0,33.0,
313,HHC-ASC PARK TERRACE VILLAGE,Data Submitted,0.0,0.0,0.0,
314,HHC-ASC PRAIRIE VILLAGE NURSING & REHAB,Data Submitted,0.0,0.0,0.0,
315,HHC-ASC RIVERSIDE VILLAGE,Data Submitted,32.0,< 5,7.0,
316,HHC-ASC RIVERVIEW VILLAGE,Data Submitted,0.0,0.0,0.0,
317,HHC-ASC RIVERWALK VILLAGE,Data Submitted,< 5,< 5,0.0,
318,HHC-ASC ROSEBUD VILLAGE,Data Submitted,0.0,< 5,0.0,
319,HHC-ASC ROSEGATE COMMONS ASST LIVING,Data Submitted,11.0,0.0,< 5,
320,HHC-ASC ROSEGATE VILLAGE,Data Submitted,105.0,36.0,29.0,
321,HHC-ASC ROSEWALK AT LUTHERWOODS,Data Submitted,< 5,< 5,0.0,
322,HHC-ASC ROSEWALK VILLAGE,Data Submitted,< 5,< 5,0.0,
