_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
93,CANNON INN ASSISTED LIVING,Data Submitted,0,0,0
94,CARMEL HEALTH & LIVING COMMUNITY,Data Submitted,43,17,16
95,CARMEL SENIOR LIVING,Data Submitted,0,< 5,0
96,CAROLETON HEALTHCARE CENTER,Data Submitted,0,6,0
97,CASTLETON HEALTH CARE CENTER,Data Submitted,< 5,5,0
98,CATHEDRAL HEALTH CARE CENTER,Data Submitted,0,18,0
99,CATHERINE KASPER HOME,Data Submitted,< 5,< 5,0
100,CEDAR CREEK HEALTH CAMPUS,Data Submitted,47,25,16
101,CENTURY VILLA HEALTH CARE,Data Submitted,36,25,12
102,CHALET VILLAGE HEALTH AND REHABILITATION CENTER,Data Submitted,0,< 5,0
103,CHANDLER PLACE,Data Submitted,0,0,0
104,CHAPMAN PLACE,Data Submitted,0,< 5,0
105,CHARLES FORD MEMORIAL HOME,Data Submitted,< 5,< 5,0
106,CHASE CENTER,Data Submitted,< 5,< 5,0
107,CHATEAU OF BATESVILLE,Data Submitted,< 5,< 5,0
108,CHESTERTON MANOR,Data Submitted,0,< 5,0
109,CHRISTIAN CARE RETIREMENT COMMUNITY,Data Submitted,19,25,6
110,CHRISTINA PLACE,Data Submitted,0,0,0
111,CLARENDALE OF SCHERERVILLE,Data Submitted,21,9,< 5
112,CLARKSVILLE SENIOR LIVING,Data Submitted,< 5,5,< 5
113,CLEARVISTA LAKE HEALTH CAMPUS,Data Submitted,< 5,9,0
114,CLOVERLEAF OF KNIGHTSVILLE,Data Submitted,50,27,10
115,COBBLESTONE CROSSINGS HEALTH CAMPUS,Data Submitted,< 5,9,0
116,COLONIAL NURSING HOME,Data Submitted,0,< 5,0
117,COLONIAL OAKS HEALTH CARE CENTER,Data Submitted,59,38,18
118,COLUMBUS TRANSITIONAL CARE AND REHABILITATION,Data Submitted,148,19,31
119,COMPASS PARK - INDIANA MASONIC HOME,Data Submitted,< 5,6,< 5
120,COPPER TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,7,< 5
121,CORE OF BEDFORD,Data Submitted,0,6,0
122,CORE OF DALE,Data Submitted,32,14,< 5
123,COUNTRY CHARM,Data Submitted,8,< 5,< 5
124,COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,Data Submitted,45,34,14
125,COURTYARD HEALTHCARE CENTER,Data Submitted,70,52,14
126,HHC-ASC COVENTRY MEADOWS ASSISTED LIVING,Data Submitted,15,5,< 5
127,COVERED BRIDGE HEALTH CAMPUS,Data Submitted,35,26,12
128,CRAWFORDSVILLE BICKFORD COTTAGE,Data Submitted,15,< 5,0
129,CREASY SPRINGS HEALTH CAMPUS,Data Submitted,7,5,0
130,CREEKSIDE HEALTH AND REHABILITATION CENTER,Data Submitted,53,35,18
131,CRESTWOOD VILLAGE SOUTH APARTMENTS,Data Submitted,< 5,< 5,0
132,CROWN POINT CHRISTIAN VILLAGE,Data Submitted,39,22,7
133,CROWN POINTE SENIOR LIVING COMMUNITY,Data Submitted,0,< 5,0
134,CROWN SENIOR LIVING,Data Submitted,0,< 5,0
135,CROWNPOINTE OF ANDERSON,Data Submitted,6,< 5,< 5
136,CROWNPOINTE OF CARMEL,Data Submitted,0,0,0
137,CROWNPOINTE OF GREENFIELD,Data Submitted,0,< 5,0
138,CROWNPOINTE OF HARTFORD CITY,Data Submitted,0,0,0
139,CROWNPOINTE OF INDIANAPOLIS,Data Submitted,< 5,< 5,0
140,CROWNPOINTE OF LEBANON,Data Submitted,< 5,0,< 5
141,CROWNPOINTE OF PORTLAND,Data Submitted,< 5,< 5,0
142,CUMBERLAND POINTE HEALTH CAMPUS,Data Submitted,0,< 5,0
143,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,Data Submitted,24,21,< 5
144,DECATUR TOWNSHIP CENTER,Data Submitted,24,10,6
145,DEMAREE CROSSING ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,0,< 5
146,DIGBY PLACE,Data Submitted,0,< 5,0
147,DIVERSICARE OF PROVIDENCE,Data Submitted,102,36,33
148,DYER NURSING AND REHABILITATION CENTER,Data Submitted,128,32,20
149,EAGLE CREEK HEALTHCARE CENTER,Data Submitted,30,11,< 5
150,EASTLAKE TERRACE,Data Submitted,9,< 5,< 5
151,ELKHART PLACE,Data Submitted,< 5,0,0
152,ELMCROFT OF MUNCIE,Data Submitted,9,< 5,< 5
153,ELWOOD HEALTH AND LIVING,Data Submitted,46,55,8
154,EMERALD PLACE,Data Submitted,0,0,0
155,ENGLEWOOD HEALTH & REHABILITATION CENTER,Data Submitted,22,10,6
156,ENMOTION RECOVERY CARE,Data Submitted,7,< 5,0
157,ESPECIALLY KIDZ HEALTH & REHAB,Data Submitted,0,< 5,0
158,ESSEX NURSING AND REHABILITATION CENTER,Data Submitted,0,0,0
159,EVANSVILLE PROTESTANT HOME,Data Submitted,26,23,11
160,EVERGREEN CROSSING AND THE LOFTS,Data Submitted,8,11,< 5
161,EVERGREEN VILLAGE AT BLOOMINGTON,Data Submitted,< 5,0,0
162,EXCEPTIONAL LIVING CENTER OF BRAZIL,Data Submitted,17,21,0
163,FIVE STAR RESIDENCES OF BANTA POINTE,Data Submitted,0,< 5,0
164,FIVE STAR RESIDENCES OF CLEARWATER,Data Submitted,0,0,0
165,FIVE STAR RESIDENCES OF FORT WAYNE,Data Submitted,< 5,5,0
166,FIVE STAR RESIDENCES OF LAFAYETTE,Data Submitted,0,0,0
167,FIVE STAR RESIDENCES OF NOBLESVILLE,Data Submitted,0,< 5,0
168,FIVE STAR RESIDENCES OF NORTHWOODS,Data Submitted,0,0,0
169,FLATROCK RIVER LODGE,Data Submitted,22,< 5,< 5
170,FOREST PARK HEALTH CAMPUS,Data Submitted,53,50,13
171,FORUM AT THE CROSSING,Data Submitted,31,23,8
172,FOUR SEASONS RETIREMENT CENTER,Data Submitted,38,29,11
173,FRANCISCAN HEALTH ALTERNACARE,Data Submitted,0,0,0
174,FREELANDVILLE COMMUNITY HOME,Data Submitted,0,< 5,0
175,FRIENDS FELLOWSHIP COMMUNITY,Data Submitted,16,34,8
176,GARDEN VILLA - BEDFORD,Data Submitted,< 5,18,0
177,GARDEN VILLA - BLOOMINGTON,Data Submitted,0,6,0
178,GENTLECARE OF VINCENNES,Data Submitted,25,7,< 5
179,GENTRY PARK,Data Submitted,0,< 5,0
180,GEORGE ADE MEMORIAL HEALTH CARE CENTER,Data Submitted,21,16,0
181,GEORGETOWN PLACE,Data Submitted,< 5,< 5,0
182,GLASSWATER CREEK OF LAFAYETTE,Data Submitted,< 5,< 5,0
183,GLASSWATER CREEK OF PLAINFIELD,Data Submitted,< 5,< 5,0
184,GLEN OAKS HEALTH CAMPUS,Data Submitted,6,< 5,0
185,GOLDEN LIVING CENTER - BLOOMINGTON,Data Submitted,44,19,18
186,GOLDEN LIVING CENTER - BRANDYWINE,Data Submitted,< 5,11,0
187,GOLDEN LIVING CENTER - BRENTWOOD,Data Submitted,68,10,< 5
188,GOLDEN LIVING CENTER - BROOKVIEW,Data Submitted,54,11,8
189,GOLDEN LIVING CENTER - ELKHART,Data Submitted,63,28,12
190,GOLDEN LIVING CENTER - FOUNTAINVIEW,Data Submitted,21,10,< 5
191,GOLDEN LIVING CENTER - FOUNTAINVIEW PLACE,Data Submitted,< 5,15,0
192,GOLDEN LIVING CENTER - FOUNTAINVIEW TERRACE,Data Submitted,69,34,17
193,GOLDEN LIVING CENTER - GOLDEN RULE,Data Submitted,5,16,0
194,GOLDEN LIVING CENTER - INDIANAPOLIS,Data Submitted,0,< 5,0
195,GOLDEN LIVING CENTER - KNOX,Data Submitted,8,6,< 5
196,GOLDEN LIVING CENTER - LAPORTE,Data Submitted,45,26,10
197,GOLDEN LIVING CENTER - LINCOLN HILLS,Data Submitted,5,6,< 5
198,GOLDEN LIVING CENTER - MERRILLVILLE,Data Submitted,34,29,7
199,GOLDEN LIVING CENTER - MUNCIE,Data Submitted,49,25,< 5
200,GOLDEN LIVING CENTER - PETERSBURG,Data Submitted,< 5,< 5,0
201,GOLDEN LIVING CENTER - RICHMOND,Data Submitted,< 5,6,< 5
202,GOLDEN LIVING CENTER - SYCAMORE VILLAGE,Data Submitted,16,6,< 5
203,GOLDEN LIVING CENTER - VALPARAISO,Data Submitted,< 5,12,0
204,GOLDEN LIVING CENTER - WILLOW SPRINGS,Data Submitted,57,9,15
205,GOLDEN LIVING CENTER - WOODBRIDGE,Data Submitted,0,< 5,0
206,GOLDEN LIVING CENTER - WOODLANDS,Data Submitted,0,5,0
207,GOLDEN LIVING CENTER - MISHAWAKA,Data Submitted,< 5,5,0
208,GOLDEN YEARS HOMESTEAD,Data Submitted,11,8,0
209,GOOD SAMARITAN HOME HEALTH CENTER,Data Submitted,67,54,12
210,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,Data Submitted,61,45,8
211,GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM,Data Submitted,31,22,11
212,GRACE VILLAGE HEALTH CARE FACILITY,Data Submitted,17,28,< 5
213,GRAND BROOK MEMORY CARE OF FISHERS,Data Submitted,8,< 5,< 5
214,GRAND BROOK MEMORY CARE OF GREENWOOD,Data Submitted,0,0,0
215,GRAND BROOK MEMORY CARE OF ZIONSVILLE,Data Submitted,5,0,< 5
216,GRAND EMERALD PLACE,Data Submitted,< 5,< 5,0
217,GRAND VALLEY GARDENS ASSISTED LIVING FACILITY,Data Submitted,0,< 5,0
218,GRAND VALLEY HEALTH & REHAB,Data Submitted,< 5,< 5,< 5
219,GREAT LAKES HEALTHCARE CENTER,Data Submitted,60,16,10
220,GREEN HOUSE COTTAGES OF CARMEL,Data Submitted,< 5,6,< 5
221,GREEN HOUSE VILLAGE OF GOSHEN,Data Submitted,14,< 5,< 5
222,GREEN VALLEY CARE CENTER,Data Submitted,56,34,7
223,GREENBRIAR VILLAGE,Data Submitted,9,0,< 5
224,GREENCROFT HEALTHCARE,Data Submitted,43,58,11
225,GREENFIELD HEALTHCARE CENTER,Data Submitted,77,20,21
226,GREENHILL MANOR,Data Submitted,0,< 5,0
227,GREENLEAF HEALTH CAMPUS,Data Submitted,46,35,18
228,GREENWOOD HEALTH AND LIVING COMMUNITY,Data Submitted,< 5,< 5,0
229,GREENWOOD HEALTHCARE CENTER,Data Submitted,192,22,36
230,GREENWOOD VILLAGE SOUTH,Data Submitted,73,58,10
231,GREY STONE HEALTH & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
232,HAMILTON GROVE,Data Submitted,39,28,17
233,HAMILTON PLACE,Data Submitted,0,0,0
234,HAMILTON TRACE OF FISHERS,Data Submitted,49,19,17
235,HAMMOND-WHITING CARE CENTER,Data Submitted,53,16,13
236,HAMPTON OAKS HEALTH CAMPUS,Data Submitted,< 5,10,0
237,HANOVER NURSING CENTER,Data Submitted,33,10,< 5
238,HARBOUR MANOR HEALTH & LIVING COMMUNITY,Data Submitted,14,10,< 5
239,HARRISON HEALTHCARE CENTER,Data Submitted,63,14,19
240,HARRISON SPRINGS HEALTH CAMPUS,Data Submitted,< 5,9,0
241,HARRISON'S CROSSING HEALTH CAMPUS,Data Submitted,5,5,< 5
242,HARTSFIELD VILLAGE ASSISTED LIVING,Data Submitted,< 5,< 5,< 5
243,HEALTH CENTER AT GLENBURN HOME,Data Submitted,99,38,32
244,HEALTHCARE CENTER AT WITTENBERG VILLAGE,Data Submitted,20,23,0
245,HEALTHWIN,Data Submitted,78,58,13
246,HEARTH AT WINDERMERE,Data Submitted,15,7,6
247,HEARTHSTONE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
248,HELLENIC SENIOR LIVING OF ELKHART,Data Submitted,14,< 5,< 5
249,HELLENIC SENIOR LIVING OF INDIANAPOLIS,Data Submitted,< 5,10,< 5
250,HELLENIC SENIOR LIVING OF NEW ALBANY,Data Submitted,0,< 5,0
251,HERITAGE CENTER,Data Submitted,5,13,0
252,HERITAGE HEALTHCARE,Data Submitted,0,< 5,0
253,HERITAGE HOUSE OF GREENSBURG,Data Submitted,36,26,5
254,HERITAGE HOUSE OF NEW CASTLE,Data Submitted,0,9,0
255,HERITAGE HOUSE OF RICHMOND,Data Submitted,< 5,< 5,0
256,HERITAGE HOUSE OF SHELBYVILLE,Data Submitted,56,29,15
257,HERITAGE OF HUNTINGTON,Data Submitted,< 5,9,0
258,HERITAGE POINT ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0,0,0
259,HERITAGE POINT OF WARREN,Data Submitted,14,19,0
260,HERITAGE POINTE OF FORT WAYNE,Data Submitted,17,15,5
261,HERITAGE WOODS OF NOBLESVILLE,Data Submitted,12,7,< 5
262,HHC-ASC ALLISONVILLE MEADOWS,Data Submitted,41,22,< 5
263,HHC-ASC ALLISONVILLE MEADOWS ASSISTED LIVING,Data Submitted,7,5,< 5
264,HHC-ASC AMERICAN VILLAGE,Data Submitted,76,13,13
265,HHC-ASC ARBOR GROVE VILLAGE,Data Submitted,31,17,9
266,HHC-ASC AUTUMN RIDGE REHABILITATION CENTRE,Data Submitted,< 5,5,0
267,HHC-ASC AVALON VILLAGE,Data Submitted,28,19,< 5
268,HHC-ASC BEECH GROVE MEADOWS,Data Submitted,16,6,< 5
269,HHC-ASC BEN HUR HEALTH AND REHAB,Data Submitted,64,11,18
270,HHC-ASC BETHANY VILLAGE,Data Submitted,20,11,0
271,HHC-ASC BETHANY VILLAGE ASSISTED LIVING,Data Submitted,< 5,< 5,0
272,HHC-ASC BETHLEHEM WOODS NURSING AND REHABILITATION,Data Submitted,68,18,24
273,HHC-ASC BETZ NURSING HOME,Data Submitted,14,7,< 5
274,HHC-ASC BROWNSBURG MEADOWS,Data Submitted,23,< 5,8
275,HHC-ASC CANTERBURY NURSING AND REHABILITATION CENTER,Data Submitted,23,14,< 5
276,HHC-ASC CARDINAL NURSING AND REHABILITATION CENTER,Data Submitted,97,14,19
277,HHC-ASC CLARK REHABILITATION AND SKILLED NURSING CENTER,Data Submitted,0,0,0
278,HHC-ASC CLINTON GARDENS,Data Submitted,< 5,5,0
279,HHC-ASC COLUMBIA HEALTHCARE CENTER,Data Submitted,65,30,< 5
280,HHC-ASC COMMUNITY NURSING AND REHABILITATION CENTER,Data Submitted,11,15,< 5
281,HHC-ASC COUNTRYSIDE MEADOWS,Data Submitted,67,16,18
282,HHC-ASC COVENTRY MEADOWS,Data Submitted,33,13,< 5
283,HHC-ASC CREEKSIDE VILLAGE,Data Submitted,59,45,17
284,HHC-ASC CYPRESS GROVE REHABILITATION CENTER,Data Submitted,31,6,< 5
285,HHC-ASC DANVILLE REGIONAL REHABILITATION,Data Submitted,72,43,8
286,HHC-ASC EAGLE VALLEY MEADOWS,Data Submitted,< 5,< 5,0
287,HHC-ASC EAST LAKE NURSING & REHABILITATION CENTER,Data Submitted,< 5,8,0
288,HHC-ASC EASTGATE MANOR NURSING & REHABILITATION CENTER,Data Submitted,0,7,0
289,HHC-ASC EDGEWATER WOODS,Data Submitted,0,< 5,0
290,HHC-ASC ELKHART MEADOWS,Data Submitted,8,19,< 5
291,HHC-ASC FAIRWAY VILLAGE,Data Submitted,41,13,13
292,HHC-ASC FOREST CREEK VILLAGE,Data Submitted,61,9,15
293,HHC-ASC FRANKLIN MEADOWS,Data Submitted,38,28,6
294,HHC-ASC GLENBROOK REHABILITATION & SKILLED NURSING CENTER,Data Submitted,0,5,0
295,HHC-ASC GOOD SAMARITAN HOME & REHABILITATIVE CENTER,Data Submitted,31,38,< 5
296,HHC-ASC GREENWOOD MEADOWS,Data Submitted,111,18,31
297,HHC-ASC HARCOURT TERRACE NURSING AND REHABILITATION,Data Submitted,36,9,9
298,HHC-ASC HARRISON TERRACE,Data Submitted,70,22,39
299,HHC-ASC HERITAGE HOUSE REHAB & HEALTH CARE CENTER,Data Submitted,47,18,6
300,HHC-ASC HERITAGE PARK,Data Submitted,79,16,25
301,HHC-ASC HERITAGE PARK COMMONS,Data Submitted,< 5,0,0
302,HHC-ASC HILLCREST VILLAGE,Data Submitted,27,6,< 5
303,HHC-ASC LAKE POINTE VILLAGE,Data Submitted,< 5,7,0
304,HHC-ASC LOWELL HEALTHCARE,Data Submitted,0,< 5,0
305,HHC-ASC MAPLE PARK VILLAGE,Data Submitted,52,26,14
306,HHC-ASC MARKLE HEALTH & REHABILITATION,Data Submitted,0,< 5,0
307,HHC-ASC MEADOW LAKES,Data Submitted,59,15,15
308,HHC-ASC MEADOW VIEW HEALTH AND REHABILITATION,Data Submitted,0,7,0
309,HHC-ASC MONTICELLO HEALTHCARE,Data Submitted,59,28,13
310,HHC-ASC MOUNT VERNON NURSINGAND REHABILITATION,Data Submitted,41,12,7
311,HHC-ASC NORTH CAPITOL NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
312,HHC-ASC NORTH PARK NURSING CENTER,Data Submitted,72,44,6
313,HHC-ASC NORTH WOODS VILLAGE,Data Submitted,95,13,26
314,HHC-ASC PARK TERRACE VILLAGE,Data Submitted,< 5,< 5,< 5
315,HHC-ASC PRAIRIE VILLAGE NURSING & REHAB,Data Submitted,0,< 5,0
316,HHC-ASC RIVERSIDE VILLAGE,Data Submitted,45,< 5,12
317,HHC-ASC RIVERVIEW VILLAGE,Data Submitted,6,< 5,< 5
318,HHC-ASC RIVERWALK VILLAGE,Data Submitted,78,38,17
319,HHC-ASC ROSEBUD VILLAGE,Data Submitted,9,7,< 5
320,HHC-ASC ROSEGATE COMMONS ASST LIVING,Data Submitted,12,< 5,< 5
321,HHC-ASC ROSEGATE VILLAGE,Data Submitted,113,36,26
322,HHC-ASC ROSEWALK AT LUTHERWOODS,Data Submitted,< 5,< 5,0
323,HHC-ASC ROSEWALK VILLAGE,Data Submitted,32,13,< 5
324,HHC-ASC ROSEWALK VILLAGE OF LAFAYETTE,Data Submitted,55,13,5
325,HHC-ASC SALEM CROSSING,Data Submitted,< 5,< 5,0
326,HHC-ASC SEYMOUR CROSSING,Data Submitted,38,22,5
327,HHC-ASC SPRING MILL MEADOWS,Data Submitted,46,10,13
328,HHC-ASC SPRINGHILL VILLAGE,Data Submitted,0,< 5,0
329,HHC-ASC SPRINGS VALLEY MEADOWS,Data Submitted,0,< 5,0
330,HHC-ASC STONEBROOKE REHAB CENTER,Data Submitted,58,28,12
331,HHC-ASC SUMMIT CITY NURSING AND REHABILITATION,Data Submitted,14,6,< 5
332,HHC-ASC SWISS VILLA NURSING AND REHABILITATION,Data Submitted,28,13,< 5
333,HHC-ASC TIMBERS OF JASPER,Data Submitted,0,8,0
334,HHC-ASC TODD-DICKEY NURSING AND REHABILITATION,Data Submitted,< 5,< 5,0
335,HHC-ASC TRAILPOINT VILLAGE,Data Submitted,73,30,12
336,HHC-ASC UNIVERSITY NURSING CENTER,Data Submitted,14,17,0
337,HHC-ASC VALPARAISO CARE & REHABILITATION,Data Submitted,85,59,7
338,HHC-ASC WASHINGTON HEALTHCARE CENTER,Data Submitted,30,9,8
339,HHC-ASC WATERS EDGE VILLAGE,Data Submitted,10,14,< 5
340,HHC-ASC WEST BEND NURSING AND REHABILITATION,Data Submitted,51,15,10
341,HHC-ASC WESTVIEW NURSING AND REHABILITATION CENTER,Data Submitted,28,10,7
342,HHC-ASC WILLIAMSPORT NURSING AND REHABILITATION,Data Submitted,0,5,0
343,HHC-ASC WILLOWDALE VILLAGE,Data Submitted,< 5,0,0
344,HHC-ASC ZIONSVILLE MEADOWS,Data Submitted,19,< 5,5
345,HI JILL'S HOUSE,Data Submitted,0,< 5,0
346,HICKORY CREEK AT COLUMBUS,Data Submitted,0,< 5,0
347,HICKORY CREEK AT CONNERSVILLE,Data Submitted,28,19,< 5
348,HICKORY CREEK AT CRAWFORDSVILLE,Data Submitted,0,< 5,0
349,HICKORY CREEK AT FRANKLIN,Data Submitted,0,0,0
350,HICKORY CREEK AT GREENSBURG,Data Submitted,< 5,7,0
351,HICKORY CREEK AT HUNTINGTON,Data Submitted,0,< 5,0
352,HICKORY CREEK AT KENDALLVILLE,Data Submitted,12,7,< 5
353,HICKORY CREEK AT MADISON,Data Submitted,0,< 5,0
354,HICKORY CREEK AT NEW CASTLE,Data Submitted,17,5,< 5
355,HICKORY CREEK AT PERU,Data Submitted,0,0,0
356,HICKORY CREEK AT ROCHESTER,Data Submitted,27,14,9
357,HICKORY CREEK AT SCOTTSBURG,Data Submitted,0,0,0
358,HICKORY CREEK AT SUNSET,Data Submitted,0,< 5,0
359,HICKORY CREEK AT WINAMAC,Data Submitted,0,< 5,0
360,HILDEGARD HEALTH CENTER,Data Submitted,0,8,0
361,HILLSIDE MANOR NURSING HOME,Data Submitted,0,0,0
362,HOLY CROSS VILLAGE AT NOTRE DAME,Data Submitted,18,16,< 5
363,HOMESTEAD HEALTHCARE CENTER,Data Submitted,< 5,5,< 5
364,HOMEVIEW CENTER OF FRANKLIN,Data Submitted,10,< 5,0
365,HOMEWOOD HEALTH CAMPUS,Data Submitted,44,16,19
366,HOOSIER CHRISTIAN VILLAGE,Data Submitted,< 5,5,0
367,HOOSIER VILLAGE,Data Submitted,14,21,< 5
368,HOOVERWOOD,Data Submitted,44,47,19
369,HUBBARD HILL ESTATES,Data Submitted,31,28,< 5
