_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
26,10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,924131.000,0.000,924131.000
27,10009,"2020 Families First Coronavirus Response Act, Division D Emergency Unemployment Insurance Stabilization and Access Act",US DEPT OF LABOR,510,Dept of Workforce Development,20538609.000,12438824.590,8099784.410
28,10010,2020 Indiana COVID 19 Emergency Mental Health Services,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,315000.400,302.840,314697.560
29,10010,2020 Indiana COVID 19 Emergency Mental Health Services,US DEPT OF HEALTH & HUMANS SVS,410,FSSA Div of Mntl Hlth & Addict,1625770.600,205879.370,1419891.230
30,10011,2020 CDBG-CV CARES ACT,US DEPT OF HOUSE & URBAN DEVEL,38,Lieutenant Governor's Office,18668114.000,5270943.120,13397170.880
31,10012,2020 Promotion of the Arts_Partnership Agreements - CARES Amendment 2 (FS 009626) added for CARES ACT,US NAT ENDOWMENT FOR HUMANIT,705,IN Arts Commission,473900.000,438000.000,35900.000
32,10013,2020 Child Nutrition GAD Number 2IN300059,US DEPT OF AGRICULTURE,718,Education School Nutrition,164142858.000,131258562.030,32884295.970
33,10019,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,11527724.000,425971.410,11101752.590
34,10020,2020 Ryan White HIV/AIDS Program Part B COVID19 Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,234016.000,180619.190,53396.810
35,10021,2020 HAVA CARES Act Grant,US ELECTION ASSISTANCE COMMI,40,Secretary of State,8013610.000,6224912.570,1788697.430
36,10022,2020 National Dislocated Worker Grants Program Guidance WIA National Emergency Grants (NEGs),US DEPT OF LABOR,510,Dept of Workforce Development,1665000.000,94306.100,1570693.900
37,10024,2020 Coronavirus State Hospital Improvement Program,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,3204046.000,2529510.000,674536.000
38,10025,2020 National Bioterrorism Hospital Preparedness Program - COVID Response Supplemental,US DEPT OF HEALTH & HUMANS SVS,385,IN Dept of Homeland Security,100000.000,0.000,100000.000
39,10025,2020 National Bioterrorism Hospital Preparedness Program - COVID Response Supplemental,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,2948931.000,76644.000,2872287.000
40,10026,2020 (BJA - CESF) Coronavirus Emergency Supplemental Funding Program,US DEPT OF JUSTICE,32,Criminal Justice Institute,8590030.000,60373.580,8529656.420
41,10026,2020 (BJA - CESF) Coronavirus Emergency Supplemental Funding Program,US DEPT OF JUSTICE,615,Dept of Correction,2500000.000,331987.000,2168013.000
42,10027,2020 Small Business Development Centers CARES Act,US SMALL BUSINESS ADMIN,260,IN Economic Development Corp,2769817.500,3432.370,2766385.130
43,10027,2020 Small Business Development Centers CARES Act,US SMALL BUSINESS ADMIN,260,IN Economic Development Corp,923272.500,61299.580,861972.920
44,10028,2020 TIII-B - Supportive Services - CARES Act (P.L. 116-131) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3894022.000,2900271.000,993751.000
45,10029,2020 TIII-C2 - Nutrition Services - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,9345652.000,5734509.390,3611142.610
46,10030,2020 TIII-E - Family Caregiver - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1907350.000,1001926.750,905423.250
47,10031,2020 TVII - Ombudsman - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,389402.000,4000.000,385402.000
48,10033,2020 The Emergency Food Assistance Program (TEFAP):  Allocation of CARES Act Supplemental Appropriation,US DEPT OF AGRICULTURE,400,IN State Department of Health,1943365.000,1510431.410,432933.590
49,10034,2020 Elementary and Secondary School Emergency Relief Fund,US DEPARTMENT OF EDUCATION,700,Dept of Education,214472770.000,28253361.800,186219408.200
50,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,396000.000,62435.660,333564.340
51,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,110000.000,0.000,110000.000
52,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,102313.000,0.000,102313.000
53,10044,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,183065473.000,1309594.210,181755878.790
54,10048,2020 Public Assistance-Management Costs FEMA,US FED EMERGENCY MGMT AGENCY,385,IN Dept of Homeland Security,694415.200,88730.640,605684.560
55,10048,2020 Public Assistance-Management Costs FEMA,US FED EMERGENCY MGMT AGENCY,385,IN Dept of Homeland Security,18750000.000,0.000,18750000.000
56,10071,2020 Crisis Counseling Immediate Services Program,US FED EMERGENCY MGMT AGENCY,410,FSSA Div of Mntl Hlth & Addict,986244.000,623926.010,362317.990
57,10073,2020 Child Care and Development Block Grant,US DEPT OF HEALTH & HUMANS SVS,501,FSSA Early Child Learning,78821955.000,62535738.610,16286216.390
58,10079,2020 Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes - (The CARES Act 2020),US DEPT OF HEALTH & HUMANS SVS,32,Criminal Justice Institute,702901.000,39836.630,663064.370
59,10081,2020 COVID19-Rape Prevention and Education: Using the Best Available Evidence,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,71073.000,0.000,71073.000
60,10085,2020 WIOA National Dislocated Worker Grants / WIA National Emergency Grants (NEGs),US DEPT OF LABOR,510,Dept of Workforce Development,6660000.000,1828.980,6658171.020
61,10099,2020 Indiana ADRC No Wrong Door COVID-19 Relief,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1105454.000,1112.310,1104341.690
62,10138,2020 Governors Emergency Education Relief Fund,US DEPARTMENT OF EDUCATION,57,Budget Agency,0.000,0.000,0.000
63,10138,2020 Governors Emergency Education Relief Fund,US DEPARTMENT OF EDUCATION,700,Dept of Education,61590954.000,100400.000,61490554.000
64,10139,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC) E. Cross-Cutting Emerging Issues,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,1694239.000,947.910,1693291.090
65,10160,2020 COVID Immunization and Vaccines for Children PPPHEA,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,2317387.000,59263.640,2258123.360
66,10166,2020 The Emergency Food Assistance Program (TEFAP): Admin,US DEPT OF AGRICULTURE,400,IN State Department of Health,2877684.000,1265230.510,1612453.490
67,10214,2020 FEMA Lost Wages Assistance,US DEPT OF HOMELAND SECURITY,510,Dept of Workforce Development,388169376.000,318814800.000,69354576.000
68,10215,2020 Lost Wages Assistance Program to Provide Needed Relief to Americans Admin Costs,US DEPT OF HOMELAND SECURITY,510,Dept of Workforce Development,408266.000,0.000,408266.000
69,10218,2020 RSP - Crisis Counseling Assistance and Training Program,US DEPT OF HEALTH & HUMANS SVS,410,FSSA Div of Mntl Hlth & Addict,3862696.000,0.000,3862696.000
70,10244,2020 COVID-19 Supplemental Refugee Support Services Q3B allocation,US DEPT OF HEALTH & HUMANS SVS,500,FSSA Div of Family Resources,295000.000,0.000,295000.000
