_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
24,10010,2020 Indiana COVID 19 Emergency Mental Health Services,US DEPT OF HEALTH & HUMANS SVS,410,FSSA Div of Mntl Hlth & Addict,1493593.320,89783.780,1403809.540
25,10011,2020 CDBG-CV CARES ACT,US DEPT OF HOUSE & URBAN DEVEL,38,Lieutenant Governor's Office,18668114.000,3036284.120,15631829.880
26,10012,2020 Promotion of the Arts_Partnership Agreements - CARES Amendment 2 (FS 009626) added for CARES ACT,US NAT ENDOWMENT FOR HUMANIT,705,IN Arts Commission,473900.000,438000.000,35900.000
27,10013,2020 Child Nutrition,US DEPT OF AGRICULTURE,718,Education School Nutrition,164142858.000,88188918.530,75953939.470
28,10019,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,11527724.000,15393.840,11512330.160
29,10020,2020 Ryan White HIV/AIDS Program Part B COVID19 Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,234016.000,0.000,234016.000
30,10021,2020 HAVA CARES Act Grant,US ELECTION ASSISTANCE COMMI,40,Secretary of State,7980108.000,3498375.780,4481732.220
31,10022,2020 National Dislocated Worker Grants Program Guidance WIA National Emergency Grants (NEGs),US DEPT OF LABOR,510,Dept of Workforce Development,1665000.000,0.000,1665000.000
32,10024,2020 Coronavirus State Hospital Improvement Program,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,3204046.000,2529510.000,674536.000
33,10025,2020 National Bioterrorism Hospital Preparedness Program - COVID Response Supplemental,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,3048931.000,0.000,3048931.000
34,10026,2020 (BJA - CESF) Coronavirus Emergency Supplemental Funding Program,US DEPT OF JUSTICE,32,Criminal Justice Institute,8590030.000,20486.860,8569543.140
35,10026,2020 (BJA - CESF) Coronavirus Emergency Supplemental Funding Program,US DEPT OF JUSTICE,615,Dept of Correction,2500000.000,55718.650,2444281.350
36,10027,2020 Small Business Development Centers CARES Act,US SMALL BUSINESS ADMIN,260,IN Economic Development Corp,2769817.500,5690.000,2764127.500
37,10027,2020 Small Business Development Centers CARES Act,US SMALL BUSINESS ADMIN,260,IN Economic Development Corp,923272.500,0.000,923272.500
38,10028,2020 TIII-B - Supportive Services - CARES Act (P.L. 116-131) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3894022.000,519724.220,3374297.780
39,10029,2020 TIII-C2 - Nutrition Services - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,9345652.000,892645.140,8453006.860
40,10030,2020 TIII-E - Family Caregiver - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1907350.000,76088.430,1831261.570
41,10031,2020 TVII - Ombudsman - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,389402.000,0.000,389402.000
42,10033,2020 The Emergency Food Assistance Program (TEFAP):  Allocation of CARES Act Supplemental Appropriation,US DEPT OF AGRICULTURE,400,IN State Department of Health,1943365.000,63754.100,1879610.900
43,10034,2020 Elementary and Secondary School Emergency Relief Fund,US DEPARTMENT OF EDUCATION,700,Dept of Education,214472770.000,4900558.370,209572211.630
44,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,608313.000,0.000,608313.000
45,10044,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,183065473.000,313736.280,182751736.720
46,10048,2020 Public Assistance-Management Costs FEMA,US FED EMERGENCY MGMT AGENCY,385,IN Dept of Homeland Security,694415.200,37473.860,656941.340
47,10073,2020 Child Care and Development Block Grant,US DEPT OF HEALTH & HUMANS SVS,501,FSSA Early Child Learning,78821955.000,59957327.990,18864627.010
48,10079,2020 Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes - (The CARES Act 2020),US DEPT OF HEALTH & HUMANS SVS,32,Criminal Justice Institute,702901.000,0.000,702901.000
49,10081,2020 COVID19-Rape Prevention and Education: Using the Best Available Evidence,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,71073.000,0.000,71073.000
50,10085,2020 WIOA National Dislocated Worker Grants / WIA National Emergency Grants (NEGs),US DEPT OF LABOR,510,Dept of Workforce Development,6660000.000,0.000,6660000.000
51,10099,Indiana 2020 ADRC No Wrong Door COVID-19 Relief,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1105454.000,0.000,1105454.000
52,10138,2020 Governors Emergency Education Relief Fund,US DEPARTMENT OF EDUCATION,57,Budget Agency,61590954.000,0.000,61590954.000
53,10139,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC) E. Cross-Cutting Emerging Issues,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,1694239.000,0.000,1694239.000
