_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
15,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,498,FSSA Div of Aging,2520000.000,1349271.000,1170729.000
16,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,510,Dept of Workforce Development,8000000.000,0.000,8000000.000
17,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,510,Dept of Workforce Development,33000000.000,0.000,33000000.000
18,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,512,Workforce Cabinet,8000000.000,0.000,8000000.000
19,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,719,Comm for Higher Education,9000000.000,0.000,9000000.000
20,10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,163970.000,147710.050,16259.950
21,10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,12178612.000,7366804.260,4811807.740
22,10001,2020 Pandemic Unemployment Compensation Implementation Admin Grants Award received 06/10/20,US DEPT OF LABOR,510,Dept of Workforce Development,85813.000,10195.990,75617.010
23,10003,2020 Federal Transit CARES Act,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,55504089.000,3165811.000,52338278.000
24,10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,117506.000,80818.330,36687.670
25,10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,924131.000,0.000,924131.000
26,10009,"2020 Families First Coronavirus Response Act, Division D Emergency Unemployment Insurance Stabilization and Access Act",US DEPT OF LABOR,510,Dept of Workforce Development,20538609.000,12360105.250,8178503.750
27,10010,2020 Indiana COVID 19 Emergency Mental Health Services,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,315000.400,0.000,315000.400
28,10010,2020 Indiana COVID 19 Emergency Mental Health Services,US DEPT OF HEALTH & HUMANS SVS,410,FSSA Div of Mntl Hlth & Addict,1625770.600,162691.870,1463078.730
29,10011,2020 CDBG-CV CARES ACT,US DEPT OF HOUSE & URBAN DEVEL,38,Lieutenant Governor's Office,18668114.000,4589743.120,14078370.880
30,10012,2020 Promotion of the Arts_Partnership Agreements - CARES Amendment 2 (FS 009626) added for CARES ACT,US NAT ENDOWMENT FOR HUMANIT,705,IN Arts Commission,473900.000,438000.000,35900.000
31,10013,2020 Child Nutrition GAD Number 2IN300059,US DEPT OF AGRICULTURE,718,Education School Nutrition,164142858.000,131258562.030,32884295.970
32,10019,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,11527724.000,397691.030,11130032.970
33,10020,2020 Ryan White HIV/AIDS Program Part B COVID19 Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,234016.000,170702.480,63313.520
34,10021,2020 HAVA CARES Act Grant,US ELECTION ASSISTANCE COMMI,40,Secretary of State,7980108.000,5619359.970,2360748.030
35,10022,2020 National Dislocated Worker Grants Program Guidance WIA National Emergency Grants (NEGs),US DEPT OF LABOR,510,Dept of Workforce Development,1665000.000,48351.380,1616648.620
36,10024,2020 Coronavirus State Hospital Improvement Program,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,3204046.000,2529510.000,674536.000
37,10025,2020 National Bioterrorism Hospital Preparedness Program - COVID Response Supplemental,US DEPT OF HEALTH & HUMANS SVS,385,IN Dept of Homeland Security,100000.000,0.000,100000.000
38,10025,2020 National Bioterrorism Hospital Preparedness Program - COVID Response Supplemental,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,2948931.000,73144.000,2875787.000
39,10026,2020 (BJA - CESF) Coronavirus Emergency Supplemental Funding Program,US DEPT OF JUSTICE,32,Criminal Justice Institute,8590030.000,60373.580,8529656.420
40,10026,2020 (BJA - CESF) Coronavirus Emergency Supplemental Funding Program,US DEPT OF JUSTICE,615,Dept of Correction,2500000.000,332563.180,2167436.820
41,10027,2020 Small Business Development Centers CARES Act,US SMALL BUSINESS ADMIN,260,IN Economic Development Corp,923272.500,36500.000,886772.500
42,10027,2020 Small Business Development Centers CARES Act,US SMALL BUSINESS ADMIN,260,IN Economic Development Corp,2769817.500,24799.580,2745017.920
43,10028,2020 TIII-B - Supportive Services - CARES Act (P.L. 116-131) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3894022.000,2910971.820,983050.180
44,10029,2020 TIII-C2 - Nutrition Services - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,9345652.000,5749485.560,3596166.440
45,10030,2020 TIII-E - Family Caregiver - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1907350.000,1006585.950,900764.050
46,10031,2020 TVII - Ombudsman - CARES Act (P.L. 116-131) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,389402.000,0.000,389402.000
47,10033,2020 The Emergency Food Assistance Program (TEFAP):  Allocation of CARES Act Supplemental Appropriation,US DEPT OF AGRICULTURE,400,IN State Department of Health,1943365.000,826303.540,1117061.460
48,10034,2020 Elementary and Secondary School Emergency Relief Fund,US DEPARTMENT OF EDUCATION,700,Dept of Education,214472770.000,22002448.870,192470321.130
49,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,110000.000,0.000,110000.000
50,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,396000.000,43359.000,352641.000
51,10035,2020 Library Services and Technology Act CARES Act State Grant,US INST OF MUSEUM & LIBRY SVS,730,IN State Library,102313.000,0.000,102313.000
52,10044,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,183065473.000,1118132.840,181947340.160
53,10048,2020 Public Assistance-Management Costs FEMA,US FED EMERGENCY MGMT AGENCY,385,IN Dept of Homeland Security,694415.200,82882.730,611532.470
54,10071,2020 Crisis Counseling Immediate Services Program,US FED EMERGENCY MGMT AGENCY,410,FSSA Div of Mntl Hlth & Addict,986244.000,433199.700,553044.300
55,10073,2020 Child Care and Development Block Grant,US DEPT OF HEALTH & HUMANS SVS,501,FSSA Early Child Learning,78821955.000,62437776.090,16384178.910
56,10079,2020 Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes - (The CARES Act 2020),US DEPT OF HEALTH & HUMANS SVS,32,Criminal Justice Institute,702901.000,17647.300,685253.700
57,10081,2020 COVID19-Rape Prevention and Education: Using the Best Available Evidence,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,71073.000,0.000,71073.000
58,10085,2020 WIOA National Dislocated Worker Grants / WIA National Emergency Grants (NEGs),US DEPT OF LABOR,510,Dept of Workforce Development,6660000.000,1828.980,6658171.020
59,10099,2020 Indiana ADRC No Wrong Door COVID-19 Relief,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1105454.000,1112.310,1104341.690
60,10138,2020 Governors Emergency Education Relief Fund,US DEPARTMENT OF EDUCATION,57,Budget Agency,0.000,0.000,0.000
61,10138,2020 Governors Emergency Education Relief Fund,US DEPARTMENT OF EDUCATION,700,Dept of Education,61590954.000,0.000,61590954.000
62,10139,2020 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC) E. Cross-Cutting Emerging Issues,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,1694239.000,947.910,1693291.090
63,10160,2020 COVID Immunization and Vaccines for Children PPPHEA,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,2317387.000,55491.870,2261895.130
64,10166,2020 The Emergency Food Assistance Program (TEFAP): Admin,US DEPT OF AGRICULTURE,400,IN State Department of Health,2877684.000,175738.600,2701945.400
65,10214,FEMA LWA. *No APPROP or Cash entries. Project 51099FEDERALLWA,US DEPT OF HOMELAND SECURITY,510,Dept of Workforce Development,388169376.000,311362800.000,76806576.000
66,10215,2020 Lost Wages Assistance Program to Provide Needed Relief to Americans,US DEPT OF HOMELAND SECURITY,510,Dept of Workforce Development,352824.000,0.000,352824.000
67,10218,2020 RSP - Crisis Counseling Assistance and Training Program,US DEPT OF HEALTH & HUMANS SVS,410,FSSA Div of Mntl Hlth & Addict,3862696.000,0.000,3862696.000
68,10244,2020 COVID-19 Supplemental Refugee Support Services Q3B allocation,US DEPT OF HEALTH & HUMANS SVS,500,FSSA Div of Family Resources,295000.000,0.000,295000.000
